2022-12-06 00:09:14,GootLoaderSites,url,http://www.wiccinigeria.org/faq.php,#GootLoader,https://twitter.com/GootLoaderSites/status/1599918852149846018
2022-12-06 00:15:32,RdpSnitch,ip,112.216.180.155,,https://twitter.com/RdpSnitch/status/1599920439660318720
2022-12-06 00:15:32,RdpSnitch,ip,167.235.114.40,,https://twitter.com/RdpSnitch/status/1599920439660318720
2022-12-06 00:15:32,RdpSnitch,ip,46.4.74.132,,https://twitter.com/RdpSnitch/status/1599920439660318720
2022-12-06 00:15:32,RdpSnitch,ip,142.93.8.59,,https://twitter.com/RdpSnitch/status/1599920440968880134
2022-12-06 00:57:10,PhishStats,url,http://metareport.co.vu/,#phishing,https://twitter.com/PhishStats/status/1599930917472161792
2022-12-06 00:57:10,PhishStats,url,http://167.172.144.189,#phishing,https://twitter.com/PhishStats/status/1599930917472161792
2022-12-06 00:57:10,PhishStats,ip,167.172.144.189,#phishing,https://twitter.com/PhishStats/status/1599930917472161792
2022-12-06 01:06:19,DGAFeedAlerts,url,http://purple-market.com,,https://twitter.com/DGAFeedAlerts/status/1599933221164257280
2022-12-06 01:06:19,DGAFeedAlerts,url,http://14.128.140.84,,https://twitter.com/DGAFeedAlerts/status/1599933221164257280
2022-12-06 01:06:19,DGAFeedAlerts,ip,14.128.140.84,,https://twitter.com/DGAFeedAlerts/status/1599933221164257280
2022-12-06 01:11:11,DGAFeedAlerts,url,http://amnapa.com,,https://twitter.com/DGAFeedAlerts/status/1599934442667220993
2022-12-06 01:11:11,DGAFeedAlerts,url,http://154.39.253.19,,https://twitter.com/DGAFeedAlerts/status/1599934442667220993
2022-12-06 01:11:11,DGAFeedAlerts,ip,154.39.253.19,,https://twitter.com/DGAFeedAlerts/status/1599934442667220993
2022-12-06 01:11:13,DGAFeedAlerts,url,http://deyahe.com,,https://twitter.com/DGAFeedAlerts/status/1599934451865325569
2022-12-06 01:11:13,DGAFeedAlerts,url,http://45.119.55.24,,https://twitter.com/DGAFeedAlerts/status/1599934451865325569
2022-12-06 01:11:13,DGAFeedAlerts,ip,45.119.55.24,,https://twitter.com/DGAFeedAlerts/status/1599934451865325569
2022-12-06 01:11:14,DGAFeedAlerts,url,http://puftpr.com,,https://twitter.com/DGAFeedAlerts/status/1599934455749218306
2022-12-06 01:11:14,DGAFeedAlerts,url,http://34.98.99.30,,https://twitter.com/DGAFeedAlerts/status/1599934455749218306
2022-12-06 01:11:14,DGAFeedAlerts,ip,34.98.99.30,,https://twitter.com/DGAFeedAlerts/status/1599934455749218306
2022-12-06 01:50:14,ecarlesi,url,http://tatiayithikhagya.xyz/,#phishing,https://twitter.com/ecarlesi/status/1599944270101848065
2022-12-06 01:50:21,ecarlesi,url,http://uytg3.finance/,#malware,https://twitter.com/ecarlesi/status/1599944301504614402
2022-12-06 01:50:35,harugasumi,url,http://www.tokyoseikatsuhogo.com/jp,#phishing,https://twitter.com/harugasumi/status/1599944360363450368
2022-12-06 01:50:35,harugasumi,ip,172.86.125.123,#phishing,https://twitter.com/harugasumi/status/1599944360363450368
2022-12-06 01:50:45,ecarlesi,url,http://8038.credit/,#malware,https://twitter.com/ecarlesi/status/1599944401643610112
2022-12-06 01:51:14,AtomSpam,url,http://interactive-guides.com/outlook_auto/,#phishing,https://twitter.com/AtomSpam/status/1599944522938605570
2022-12-06 01:52:33,ecarlesi,url,http://forms.bio/machform%2012%2005%202022.zip,#phishing,https://twitter.com/ecarlesi/status/1599944852682248192
2022-12-06 01:53:16,AtomSpam,url,http://bettermedicarequote.com/unix/including/office-links-fixed/index.html,#phishing,https://twitter.com/AtomSpam/status/1599945035600068614
2022-12-06 01:53:24,ecarlesi,url,http://scgob.xyz,#phishing,https://twitter.com/ecarlesi/status/1599945067896135680
2022-12-06 01:55:37,AtomSpam,url,http://caddindia.org/new/office_cookies/main/main.php,#phishing,https://twitter.com/AtomSpam/status/1599945625948327936
2022-12-06 01:58:48,ecarlesi,url,http://85163.xyz/%E5%90%8C%E5%BF%97Live.apk,#malware,https://twitter.com/ecarlesi/status/1599946429170159617
2022-12-06 01:59:55,AtomSpam,url,http://metamask.imtokenbi.com/,#phishing,https://twitter.com/AtomSpam/status/1599946707327918080
2022-12-06 02:00:11,ecarlesi,url,http://uiny.top/,#phishing,https://twitter.com/ecarlesi/status/1599946774533341184
2022-12-06 02:02:39,AtomSpam,url,http://orangcsf66.weebly.com/,#phishing,https://twitter.com/AtomSpam/status/1599947396292681730
2022-12-06 02:02:46,harugasumi,url,http://www.pnxsj.net,#phishing,https://twitter.com/harugasumi/status/1599947424562548738
2022-12-06 02:02:46,harugasumi,ip,115.144.69.42,#phishing,https://twitter.com/harugasumi/status/1599947424562548738
