# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 28 Jul 2026 03:01:08 +0200
#
# IP	number of (black)lists
#
195.178.110.137	11
94.154.43.230	10
37.120.213.13	8
66.132.186.205	8
66.132.195.69	8
77.90.185.20	8
80.82.77.139	8
88.151.33.203	8
89.126.211.166	8
93.174.95.106	8
176.53.159.197	8
176.53.159.198	8
192.142.28.77	8
193.46.255.86	8
195.178.110.232	8
223.123.92.132	8
2.57.121.112	7
2.57.122.238	7
3.130.168.2	7
16.58.56.214	7
18.116.101.220	7
34.159.18.221	7
43.155.172.154	7
45.148.10.141	7
45.148.10.147	7
45.148.10.151	7
45.148.10.152	7
45.148.10.157	7
45.148.10.240	7
45.166.147.237	7
45.198.224.5	7
46.8.245.94	7
61.19.69.203	7
66.132.172.130	7
66.132.172.187	7
66.132.172.191	7
66.132.172.197	7
66.132.186.191	7
66.132.195.35	7
66.132.195.39	7
66.132.195.61	7
66.132.224.236	7
71.6.135.131	7
71.6.158.166	7
80.82.77.33	7
86.54.31.38	7
94.154.43.30	7
103.148.100.146	7
116.99.49.208	7
118.26.111.107	7
144.225.6.182	7
150.107.38.251	7
152.42.164.200	7
165.232.114.23	7
167.94.146.49	7
167.94.146.53	7
167.94.146.59	7
167.94.146.60	7
185.65.202.199	7
192.42.116.15	7
192.42.116.16	7
192.42.116.18	7
195.178.110.227	7
203.55.81.2	7
211.20.14.156	7
2.57.121.25	6
2.57.122.209	6
3.129.187.38	6
14.63.217.28	6
20.64.105.245	6
20.65.194.164	6
20.127.202.128	6
20.163.58.125	6
31.70.84.142	6
31.77.147.140	6
35.233.39.108	6
36.135.103.30	6
40.74.212.73	6
41.63.62.103	6
41.63.63.211	6
41.220.3.101	6
45.15.226.187	6
45.43.60.220	6
45.61.187.220	6
45.154.244.149	6
45.172.152.74	6
47.88.0.49	6
50.114.172.201	6
51.75.253.68	6
61.184.128.210	6
62.54.176.203	6
62.210.142.159	6
64.62.156.80	6
64.62.156.122	6
64.62.156.142	6
64.62.197.77	6
64.62.197.197	6
65.49.1.66	6
65.49.139.223	6
66.132.172.34	6
66.132.172.35	6
