# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 06 Aug 2026 03:01:11 +0200
#
# IP	number of (black)lists
#
77.90.185.20	11
195.178.110.137	11
45.198.224.26	10
31.77.227.120	9
118.26.111.107	9
45.148.10.147	8
45.154.244.193	8
66.132.172.132	8
80.94.92.55	8
110.35.80.116	8
164.90.176.216	8
164.92.109.155	8
167.94.146.52	8
167.94.146.53	8
167.94.146.61	8
192.142.28.77	8
195.93.244.97	8
198.98.53.110	8
220.80.223.144	8
2.57.121.25	7
2.57.122.209	7
2.57.122.238	7
5.83.129.180	7
31.56.206.108	7
35.237.94.18	7
37.120.213.13	7
43.163.107.68	7
45.148.10.141	7
45.148.10.151	7
45.148.10.152	7
45.148.10.157	7
54.237.234.26	7
64.62.197.227	7
66.132.195.41	7
66.132.195.46	7
66.132.195.52	7
66.132.195.79	7
66.132.195.100	7
66.132.224.234	7
66.132.224.235	7
66.240.223.208	7
69.164.217.245	7
71.6.199.23	7
79.72.57.232	7
79.104.0.82	7
80.82.77.33	7
80.82.77.139	7
80.94.92.179	7
80.94.92.234	7
83.97.78.224	7
84.1.34.96	7
88.151.33.203	7
89.23.103.207	7
89.169.133.20	7
89.248.167.131	7
91.92.42.147	7
92.118.39.14	7
92.118.39.49	7
92.118.39.50	7
92.118.39.77	7
92.154.95.236	7
93.174.95.106	7
95.47.246.223	7
101.47.50.15	7
101.96.192.88	7
103.29.185.162	7
103.85.85.175	7
108.165.164.23	7
112.194.142.167	7
116.99.49.208	7
118.216.88.229	7
119.200.229.33	7
120.48.14.39	7
121.159.71.249	7
121.178.185.141	7
144.225.6.182	7
161.118.212.147	7
165.232.118.73	7
167.94.146.48	7
167.94.146.54	7
167.94.146.55	7
167.94.146.59	7
167.94.146.60	7
167.94.146.62	7
182.18.161.165	7
185.65.202.199	7
185.246.130.20	7
192.42.116.15	7
192.42.116.48	7
192.248.150.180	7
193.32.162.84	7
195.178.110.227	7
196.203.231.220	7
199.45.155.72	7
199.45.155.84	7
199.45.155.85	7
199.45.155.106	7
207.154.222.104	7
210.211.122.97	7
213.177.179.12	7
220.178.246.43	7
1.27.251.252	6
1.34.229.12	6
1.212.225.99	6
1.255.171.167	6
2.57.121.112	6
2.57.122.53	6
2.57.122.168	6
3.129.187.38	6
3.130.168.2	6
3.131.220.121	6
13.219.99.134	6
14.33.96.3	6
14.54.22.11	6
14.194.125.58	6
18.116.101.220	6
20.14.90.84	6
20.51.234.233	6
20.64.104.114	6
20.64.104.229	6
20.64.105.234	6
20.65.193.35	6
20.65.193.150	6
20.65.194.102	6
20.65.194.161	6
20.115.83.250	6
20.169.49.156	6
24.97.253.246	6
24.142.170.231	6
24.228.142.216	6
31.76.20.19	6
34.142.110.144	6
34.146.248.7	6
34.159.18.221	6
36.135.103.30	6
36.139.229.71	6
39.117.79.36	6
41.78.74.209	6
41.111.172.25	6
41.220.3.101	6
41.242.115.83	6
45.79.115.134	6
45.79.207.110	6
45.82.78.103	6
45.148.10.183	6
45.148.10.240	6
45.153.34.71	6
45.156.87.70	6
45.156.128.52	6
45.156.128.101	6
45.156.128.122	6
45.156.129.95	6
46.24.47.94	6
46.253.45.10	6
47.16.97.10	6
47.250.80.158	6
50.6.228.32	6
51.75.64.35	6
51.195.149.120	6
52.207.215.86	6
60.166.31.198	6
60.199.224.2	6
61.19.69.203	6
61.143.227.17	6
61.184.128.210	6
64.62.156.10	6
64.62.156.38	6
64.62.156.52	6
64.62.156.108	6
64.62.156.132	6
64.62.156.162	6
64.62.156.202	6
64.62.156.222	6
64.62.197.92	6
64.89.160.242	6
65.20.179.251	6
65.49.1.10	6
65.49.1.24	6
65.49.1.52	6
65.49.1.122	6
65.49.1.212	6
65.49.139.223	6
66.132.172.33	6
66.132.172.35	6
66.132.172.37	6
66.132.172.99	6
66.132.172.109	6
66.132.172.128	6
66.132.172.129	6
66.132.172.136	6
66.132.172.176	6
66.132.172.178	6
66.132.172.181	6
66.132.172.190	6
66.132.172.198	6
66.132.172.199	6
66.132.172.203	6
66.132.172.204	6
66.132.172.218	6
66.132.172.219	6
66.132.172.223	6
66.132.186.171	6
66.132.186.191	6
66.132.186.193	6
66.132.195.31	6
66.132.195.34	6
66.132.195.36	6
66.132.195.49	6
66.132.195.51	6
66.132.195.54	6
66.132.195.56	6
66.132.195.57	6
66.132.195.59	6
66.132.195.60	6
66.132.195.62	6
66.132.195.64	6
66.132.195.66	6
66.132.195.71	6
66.132.195.77	6
66.132.195.80	6
66.132.195.81	6
66.132.195.89	6
66.132.195.90	6
66.132.195.92	6
66.132.195.93	6
66.132.195.97	6
66.132.195.99	6
66.132.195.102	6
66.132.195.107	6
66.132.195.110	6
66.132.195.117	6
66.132.195.119	6
66.132.195.121	6
66.132.195.122	6
66.132.224.87	6
66.132.224.92	6
66.132.224.230	6
66.132.224.231	6
69.5.23.222	6
71.6.134.233	6
71.6.134.236	6
71.6.135.131	6
71.6.165.200	6
71.6.232.22	6
71.6.232.30	6
71.229.1.186	6
79.72.3.119	6
80.190.73.75	6
82.65.140.218	6
82.193.122.91	6
83.235.16.111	6
85.19.195.12	6
86.54.31.32	6
86.54.31.34	6
86.54.31.38	6
87.103.126.54	6
89.126.211.166	6
89.248.172.11	6
91.92.47.140	6
92.27.101.99	6
92.62.233.214	6
92.118.39.78	6
93.241.232.14	6
94.154.43.56	6
94.154.43.118	6
95.87.248.223	6
98.90.43.197	6
101.47.15.119	6
103.25.47.94	6
103.63.101.24	6
103.99.214.211	6
103.188.177.46	6
103.189.234.96	6
103.251.143.14	6
104.28.233.73	6
106.75.12.68	6
107.135.117.245	6
107.155.56.52	6
111.21.45.74	6
112.46.138.214	6
115.191.32.57	6
115.231.78.11	6
116.72.9.151	6
116.110.156.139	6
116.114.94.242	6
116.228.195.251	6
118.45.101.159	6
118.145.104.105	6
119.148.49.82	6
120.224.242.78	6
121.164.135.251	6
121.179.93.147	6
123.52.202.92	6
123.129.245.249	6
125.139.124.120	6
130.211.103.2	6
131.0.190.152	6
134.122.125.41	6
135.119.112.132	6
135.237.126.135	6
138.197.39.208	6
144.202.92.17	6
147.185.132.222	6
152.32.151.128	6
152.32.201.119	6
153.37.177.219	6
158.51.96.38	6
159.65.143.47	6
159.224.132.77	6
160.30.157.214	6
160.187.174.22	6
163.7.1.156	6
165.154.40.244	6
167.71.61.157	6
167.94.146.56	6
167.94.146.57	6
167.94.146.63	6
167.148.33.174	6
169.211.232.182	6
171.25.193.78	6
171.231.190.24	6
172.94.9.107	6
172.94.9.229	6
174.129.56.240	6
176.32.193.16	6
177.99.193.135	6
177.174.0.3	6
178.178.194.151	6
179.184.85.167	6
179.184.218.49	6
179.185.227.77	6
180.93.172.213	6
180.188.253.150	6
182.73.164.228	6
182.78.112.158	6
182.93.50.90	6
182.95.127.42	6
182.225.134.13	6
185.79.139.16	6
185.93.89.66	6
185.100.87.136	6
185.177.72.56	6
185.177.72.68	6
185.180.141.47	6
185.226.197.39	6
186.215.107.189	6
187.8.64.94	6
187.8.120.90	6
191.33.76.49	6
192.42.116.12	6
192.42.116.14	6
192.42.116.16	6
192.42.116.60	6
192.42.116.143	6
192.169.201.223	6
192.253.248.148	6
193.24.211.204	6
193.32.162.15	6
193.32.162.42	6
193.46.255.86	6
193.141.65.199	6
195.161.62.64	6
195.178.110.217	6
195.178.110.223	6
195.178.110.228	6
195.178.110.232	6
195.182.16.23	6
195.222.57.190	6
196.188.187.85	6
196.216.81.126	6
196.245.52.130	6
199.45.154.55	6
199.45.154.62	6
199.45.154.68	6
199.45.155.70	6
199.45.155.80	6
199.45.155.82	6
199.45.155.95	6
199.45.155.100	6
199.45.155.102	6
199.45.155.103	6
200.153.86.250	6
200.216.172.182	6
201.149.53.243	6
202.155.14.71	6
203.55.131.5	6
203.252.10.3	6
209.38.237.32	6
210.206.24.237	6
211.169.212.206	6
213.230.65.53	6
216.226.76.10	6
216.226.77.20	6
218.13.26.42	6
219.78.63.235	6
220.93.167.144	6
220.178.39.106	6
220.180.107.193	6
221.120.4.61	6
222.75.225.206	6
222.110.147.58	6
222.120.176.6	6
222.186.68.153	6
223.85.251.61	6
223.100.248.64	6
223.221.38.226	6
1.214.214.114	5
1.227.228.131	5
2.26.7.133	5
2.55.100.104	5
2.57.17.185	5
2.134.15.12	5
3.86.104.237	5
3.86.230.159	5
3.91.159.225	5
3.94.102.45	5
3.95.176.169	5
4.225.203.22	5
5.11.162.163	5
5.175.136.100	5
8.134.157.132	5
8.138.154.105	5
8.209.236.13	5
8.210.123.17	5
8.211.194.45	5
8.216.16.169	5
8.219.150.15	5
13.89.121.92	5
13.89.125.24	5
13.89.125.255	5
13.219.1.233	5
13.222.142.21	5
14.29.214.161	5
14.29.240.154	5
