# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 12 Aug 2026 03:00:29 +0200
#
# IP	number of (black)lists
#
31.77.227.120	9
45.198.224.26	9
77.90.185.20	9
108.165.164.23	9
195.178.110.137	9
2.57.121.112	8
45.148.10.147	8
45.148.10.157	8
45.156.128.72	8
66.132.186.188	8
66.132.195.50	8
66.132.195.91	8
66.132.195.111	8
71.6.135.131	8
71.6.232.23	8
80.94.92.179	8
86.54.31.32	8
92.5.66.49	8
118.26.111.107	8
154.217.245.175	8
167.94.146.49	8
167.94.146.50	8
167.94.146.51	8
167.94.146.54	8
167.94.146.58	8
181.104.43.225	8
195.93.244.97	8
199.45.155.100	8
2.57.121.25	7
2.57.122.209	7
2.57.122.238	7
3.130.168.2	7
14.54.22.11	7
18.218.118.203	7
20.64.105.39	7
24.97.253.246	7
34.92.17.63	7
40.76.124.195	7
40.124.119.20	7
40.124.127.239	7
43.153.206.227	7
43.167.198.92	7
45.43.37.254	7
45.148.10.141	7
45.148.10.151	7
45.148.10.152	7
45.148.10.183	7
45.148.10.240	7
45.154.244.193	7
45.156.128.71	7
66.132.172.36	7
66.132.172.130	7
66.132.172.139	7
66.132.172.140	7
66.132.172.177	7
66.132.172.207	7
66.132.186.191	7
66.132.186.192	7
66.132.195.31	7
66.132.195.34	7
66.132.195.42	7
66.132.195.47	7
66.132.195.51	7
66.132.195.61	7
66.132.195.64	7
66.132.195.66	7
66.132.195.73	7
66.132.195.79	7
66.132.195.80	7
66.132.195.85	7
66.132.195.86	7
66.132.195.97	7
66.132.195.98	7
66.132.195.104	7
66.132.195.119	7
66.132.195.121	7
66.132.224.231	7
66.132.224.234	7
66.240.236.109	7
68.183.105.175	7
71.6.146.186	7
71.6.199.23	7
79.72.3.119	7
80.82.77.33	7
80.82.77.139	7
80.94.92.234	7
86.54.31.38	7
87.103.126.54	7
89.23.103.207	7
89.126.211.166	7
92.118.39.14	7
92.118.39.49	7
92.118.39.71	7
92.118.39.77	7
93.174.95.106	7
95.79.108.51	7
95.215.0.144	7
103.241.45.120	7
107.155.48.46	7
109.105.209.7	7
109.105.209.9	7
109.105.209.10	7
115.140.161.61	7
118.145.104.105	7
125.139.124.120	7
129.151.171.7	7
144.202.92.17	7
144.225.6.182	7
147.185.132.106	7
164.92.109.155	7
167.94.146.52	7
167.94.146.55	7
167.94.146.57	7
167.94.146.61	7
179.184.85.167	7
179.185.227.77	7
185.177.72.30	7
186.215.107.189	7
187.8.120.90	7
189.126.4.42	7
192.248.150.180	7
193.32.162.15	7
193.32.162.84	7
193.46.255.86	7
195.178.110.218	7
195.178.110.227	7
195.178.110.228	7
198.98.53.110	7
199.45.155.70	7
199.45.155.80	7
199.45.155.84	7
199.45.155.97	7
199.45.155.103	7
213.176.26.134	7
220.80.223.144	7
220.247.224.226	7
222.117.0.253	7
1.212.225.99	6
2.57.122.53	6
2.57.122.168	6
3.80.146.66	6
3.129.187.38	6
3.131.220.121	6
13.220.108.213	6
14.29.214.161	6
18.116.101.220	6
20.64.97.78	6
20.65.137.218	6
20.65.195.32	6
20.83.167.30	6
20.84.153.199	6
20.118.240.192	6
20.163.15.166	6
20.163.30.205	6
20.169.49.156	6
20.169.104.204	6
31.77.145.89	6
35.203.211.148	6
36.110.14.155	6
39.99.32.133	6
40.80.200.216	6
40.119.41.94	6
40.124.172.38	6
40.124.173.139	6
40.124.173.224	6
40.124.174.187	6
40.124.175.29	6
41.220.3.101	6
42.96.17.249	6
43.165.170.19	6
44.201.116.222	6
45.92.33.82	6
45.148.10.125	6
45.153.34.151	6
45.156.87.253	6
45.156.128.6	6
45.156.128.51	6
45.156.128.74	6
45.156.128.78	6
45.156.128.106	6
45.156.129.65	6
45.156.129.66	6
45.156.129.67	6
47.79.76.108	6
47.84.137.6	6
50.116.26.161	6
54.174.230.107	6
60.174.35.18	6
61.37.150.6	6
61.72.55.130	6
62.183.82.70	6
64.62.156.94	6
64.62.156.182	6
64.62.197.31	6
64.62.197.77	6
64.62.197.107	6
64.62.197.137	6
64.89.160.201	6
64.89.160.242	6
65.20.251.41	6
65.49.1.38	6
65.49.1.182	6
65.49.20.66	6
66.23.162.13	6
66.132.172.33	6
66.132.172.37	6
66.132.172.40	6
66.132.172.45	6
66.132.172.46	6
66.132.172.97	6
66.132.172.98	6
66.132.172.99	6
66.132.172.100	6
66.132.172.104	6
66.132.172.107	6
66.132.172.111	6
66.132.172.128	6
66.132.172.132	6
66.132.172.133	6
66.132.172.136	6
66.132.172.137	6
66.132.172.138	6
66.132.172.141	6
66.132.172.179	6
66.132.172.181	6
66.132.172.182	6
66.132.172.183	6
66.132.172.188	6
66.132.172.189	6
66.132.172.192	6
66.132.172.193	6
66.132.172.199	6
66.132.172.202	6
66.132.172.204	6
66.132.172.206	6
66.132.172.213	6
66.132.172.218	6
66.132.186.159	6
66.132.186.161	6
66.132.186.173	6
66.132.186.176	6
66.132.186.177	6
66.132.186.178	6
66.132.186.180	6
66.132.186.181	6
66.132.186.189	6
66.132.186.190	6
66.132.186.201	6
66.132.186.202	6
66.132.186.203	6
66.132.195.36	6
66.132.195.40	6
66.132.195.46	6
66.132.195.48	6
66.132.195.49	6
66.132.195.53	6
66.132.195.56	6
66.132.195.59	6
66.132.195.60	6
66.132.195.62	6
66.132.195.65	6
66.132.195.68	6
66.132.195.71	6
66.132.195.77	6
66.132.195.78	6
66.132.195.81	6
66.132.195.83	6
66.132.195.87	6
66.132.195.88	6
66.132.195.90	6
66.132.195.92	6
66.132.195.93	6
66.132.195.99	6
66.132.195.101	6
66.132.195.106	6
66.132.195.109	6
66.132.195.110	6
66.132.195.114	6
66.132.195.118	6
66.132.195.123	6
66.132.224.80	6
66.132.224.81	6
66.132.224.86	6
66.132.224.89	6
66.132.224.225	6
66.132.224.229	6
66.132.224.230	6
66.132.224.233	6
66.132.224.235	6
66.240.192.138	6
69.5.169.64	6
69.5.169.208	6
69.5.169.225	6
69.5.169.230	6
69.49.246.176	6
71.6.134.236	6
71.6.146.130	6
71.6.165.200	6
71.6.199.65	6
74.208.177.56	6
77.41.156.64	6
77.239.106.212	6
77.239.124.244	6
77.239.124.245	6
80.94.92.55	6
80.94.95.242	6
81.226.129.67	6
82.67.188.250	6
85.217.140.1	6
85.217.149.19	6
85.217.149.35	6
85.217.149.58	6
85.217.149.62	6
85.217.149.72	6
91.92.42.81	6
91.92.42.172	6
91.92.42.227	6
91.92.47.55	6
91.109.114.213	6
91.134.133.184	6
92.27.101.99	6
92.118.39.50	6
92.126.223.175	6
94.102.49.193	6
94.154.43.56	6
94.154.43.114	6
95.85.226.199	6
95.181.232.51	6
101.13.5.26	6
101.36.104.242	6
101.96.195.17	6
103.50.5.94	6
103.63.101.24	6
103.89.136.111	6
103.159.51.70	6
103.163.97.211	6
103.218.27.217	6
104.218.164.192	6
106.0.166.123	6
110.14.192.20	6
110.35.80.116	6
111.26.62.37	6
115.21.125.227	6
115.231.78.11	6
118.193.35.202	6
118.193.61.179	6
118.194.251.144	6
119.200.229.33	6
121.179.93.147	6
121.189.198.60	6
122.170.97.94	6
125.31.2.160	6
131.0.190.152	6
135.119.16.170	6
135.233.112.94	6
138.68.108.69	6
143.198.115.76	6
145.249.109.110	6
146.190.83.66	6
147.185.132.36	6
147.185.132.55	6
147.185.132.70	6
147.185.132.93	6
147.185.132.195	6
152.32.148.140	6
152.32.176.68	6
152.32.201.119	6
152.32.213.95	6
152.32.252.94	6
152.32.255.94	6
157.151.23.70	6
157.230.124.251	6
159.89.6.79	6
159.89.207.161	6
159.223.18.78	6
161.35.201.29	6
164.92.161.148	6
164.92.201.104	6
165.22.217.106	6
165.154.41.182	6
165.154.182.179	6
167.94.146.53	6
167.94.146.59	6
167.94.146.62	6
167.94.146.63	6
168.144.65.188	6
169.197.113.175	6
171.36.77.215	6
172.94.9.193	6
172.94.9.231	6
172.203.245.82	6
175.198.18.3	6
176.32.193.16	6
177.61.176.110	6
177.174.0.3	6
179.184.218.49	6
183.239.20.236	6
184.72.203.238	6
184.105.247.195	6
184.154.245.42	6
185.93.89.66	6
185.107.80.93	6
185.177.72.66	6
185.177.72.68	6
185.177.72.205	6
185.180.141.42	6
185.180.141.45	6
185.226.197.37	6
185.226.197.67	6
185.246.130.20	6
186.239.41.74	6
187.8.64.94	6
187.115.144.103	6
187.126.105.42	6
188.219.104.210	6
188.240.59.3	6
191.33.76.49	6
192.34.128.202	6
192.169.201.223	6
192.227.221.227	6
192.236.225.165	6
193.24.211.204	6
193.32.162.42	6
193.32.162.103	6
193.138.195.134	6
193.141.65.199	6
195.178.110.26	6
195.178.110.217	6
195.178.110.232	6
195.184.76.98	6
196.188.93.169	6
196.216.81.126	6
197.242.170.10	6
199.45.154.49	6
199.45.154.50	6
199.45.154.60	6
199.45.154.66	6
199.45.154.69	6
199.45.154.118	6
199.45.155.67	6
199.45.155.72	6
199.45.155.77	6
199.45.155.85	6
199.45.155.96	6
199.45.155.98	6
199.45.155.99	6
199.45.155.104	6
199.45.155.108	6
200.89.159.59	6
200.149.51.6	6
200.153.86.250	6
200.159.14.187	6
203.252.10.3	6
204.44.67.106	6
204.236.215.121	6
206.189.5.249	6
207.90.244.2	6
210.206.24.237	6
211.20.14.156	6
211.178.165.251	6
216.226.76.10	6
218.13.26.42	6
218.94.115.164	6
219.129.96.2	6
219.154.234.146	6
219.248.65.30	6
222.134.147.66	6
223.85.251.55	6
223.107.146.186	6
1.227.228.131	5
1.250.67.114	5
1.255.171.167	5
2.54.85.220	5
3.80.225.254	5
3.86.210.219	5
3.87.52.46	5
3.91.61.197	5
3.91.151.163	5
3.93.76.26	5
3.138.247.99	5
4.221.162.168	5
5.61.209.92	5
5.89.75.194	5
5.101.64.6	5
5.144.179.246	5
5.226.140.21	5
5.226.140.22	5
5.226.140.34	5
5.226.140.113	5
8.208.44.152	5
8.209.97.27	5
8.211.39.215	5
8.211.47.177	5
8.216.8.30	5
13.86.106.3	5
13.86.112.154	5
13.89.124.213	5
13.89.125.225	5
13.89.125.231	5
13.89.125.255	5
13.221.242.173	5
14.29.181.34	5
14.29.198.130	5
14.29.248.43	5
14.33.96.3	5
14.36.5.203	5
14.177.234.46	5
14.225.5.67	5
18.234.140.213	5
20.15.162.238	5
20.15.163.174	5
20.15.224.135	5
20.29.8.147	5
20.29.22.204	5
20.29.49.93	5
20.40.217.42	5
20.46.251.132	5
20.55.73.223	5
20.64.96.40	5
20.64.104.5	5
20.64.104.9	5
20.64.104.20	5
20.64.104.65	5
20.64.104.79	5
20.64.104.154	5
20.64.104.237	5
20.64.104.251	5
20.64.105.9	5
20.64.105.146	5
20.64.105.183	5
20.64.105.206	5
20.64.105.215	5
20.64.106.38	5
20.64.106.91	5
20.64.106.155	5
20.65.154.109	5
20.65.169.214	5
20.65.177.158	5
20.65.193.76	5
20.65.193.94	5
20.65.193.148	5
20.65.193.198	5
20.65.193.243	5
20.65.194.47	5
20.65.194.87	5
20.65.194.88	5
20.65.194.113	5
20.65.194.169	5
20.65.194.174	5
20.65.194.182	5
20.65.194.188	5
20.65.195.17	5
20.65.195.33	5
20.65.195.118	5
20.65.195.124	5
20.65.217.81	5
20.65.219.72	5
20.80.88.247	5
20.80.105.17	5
20.83.27.168	5
20.83.173.252	5
20.84.144.113	5
20.84.145.58	5
20.84.152.213	5
20.98.137.225	5
20.98.164.209	5
20.106.56.201	5
20.115.83.250	5
20.118.32.47	5
20.118.217.162	5
20.118.233.215	5
20.118.241.250	5
20.119.99.184	5
20.127.244.67	5
20.163.15.96	5
20.163.15.218	5
20.163.34.74	5
20.168.120.173	5
20.168.121.101	5
20.168.124.0	5
20.169.105.48	5
20.207.199.205	5
20.221.68.159	5
20.221.72.102	5
23.91.97.170	5
23.129.64.162	5
24.122.136.94	5
24.142.170.231	5
27.79.7.170	5
31.14.32.5	5
31.14.254.65	5
31.14.254.73	5
31.14.254.96	5
31.76.9.4	5
31.77.192.7	5
31.130.35.29	5
31.132.90.3	5
31.173.29.136	5
32.199.173.55	5
34.38.245.25	5
34.38.254.88	5
