# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 24 Aug 2026 03:02:23 +0200
#
# IP	number of (black)lists
#
62.60.130.201	9
62.60.130.242	9
62.60.130.253	9
77.90.185.20	9
3.130.168.2	8
18.218.118.203	8
45.154.244.193	8
66.132.195.44	8
66.132.195.119	8
66.240.192.138	8
77.239.124.102	8
77.239.124.108	8
79.72.3.119	8
80.82.77.33	8
85.239.149.72	8
88.151.33.203	8
103.63.101.24	8
167.94.146.52	8
167.94.146.54	8
167.94.146.56	8
167.94.146.59	8
167.94.146.63	8
193.24.211.204	8
193.47.62.69	8
195.178.110.137	8
195.178.110.218	8
207.244.224.200	8
223.123.92.56	8
2.57.121.112	7
2.57.122.150	7
2.57.122.238	7
18.116.101.220	7
20.64.105.76	7
31.76.20.19	7
45.148.10.141	7
45.148.10.151	7
45.148.10.152	7
45.148.10.183	7
45.153.34.149	7
45.153.34.181	7
45.198.224.26	7
51.38.71.171	7
51.68.214.191	7
51.222.85.30	7
59.120.178.166	7
61.73.27.69	7
65.49.1.24	7
65.49.1.192	7
66.132.172.38	7
66.132.172.140	7
66.132.172.206	7
66.132.186.183	7
66.132.186.200	7
66.132.195.50	7
66.132.195.51	7
66.132.195.98	7
66.132.195.126	7
66.132.224.80	7
66.132.224.81	7
67.215.227.54	7
69.5.7.63	7
71.6.135.131	7
93.174.95.106	7
94.102.49.193	7
103.159.51.70	7
129.159.61.96	7
141.94.19.216	7
144.225.6.182	7
155.94.142.85	7
162.241.235.82	7
165.245.172.73	7
167.94.146.57	7
167.94.146.58	7
167.94.146.61	7
167.94.146.62	7
193.32.162.84	7
193.46.255.86	7
199.45.155.76	7
212.227.188.160	7
213.176.26.134	7
219.78.63.235	7
220.86.129.106	7
1.212.225.99	6
2.57.122.53	6
2.57.122.168	6
3.93.81.46	6
3.129.187.38	6
16.5.0.132	6
18.145.143.60	6
18.191.194.195	6
20.65.195.48	6
20.98.137.25	6
20.168.122.83	6
31.77.227.120	6
35.202.9.133	6
37.120.213.13	6
38.148.20.75	6
43.134.239.25	6
45.70.164.151	6
45.77.61.56	6
45.91.64.7	6
45.148.10.67	6
45.148.10.157	6
45.148.10.240	6
45.156.128.51	6
45.156.128.53	6
45.156.128.155	6
45.156.129.168	6
51.75.21.168	6
51.75.170.40	6
54.172.145.72	6
61.85.36.35	6
64.44.31.28	6
64.62.156.10	6
64.62.156.52	6
64.62.156.122	6
64.62.156.142	6
64.62.156.182	6
64.62.197.17	6
64.62.197.48	6
64.62.197.77	6
64.62.197.107	6
64.62.197.197	6
64.62.197.227	6
64.89.163.251	6
65.49.1.10	6
65.49.1.38	6
65.49.1.66	6
65.49.1.80	6
65.49.1.94	6
65.49.1.108	6
65.49.1.132	6
65.49.1.152	6
65.49.1.162	6
65.49.1.172	6
65.49.1.182	6
65.49.1.202	6
65.49.1.222	6
65.49.1.232	6
65.49.20.69	6
66.116.243.130	6
66.132.172.33	6
66.132.172.40	6
66.132.172.101	6
66.132.172.105	6
66.132.172.128	6
66.132.172.130	6
66.132.172.136	6
66.132.172.137	6
66.132.172.138	6
66.132.172.178	6
66.132.172.182	6
66.132.172.183	6
66.132.172.199	6
66.132.172.215	6
66.132.172.219	6
66.132.186.167	6
66.132.186.179	6
66.132.186.186	6
66.132.186.192	6
66.132.195.45	6
66.132.195.57	6
66.132.195.60	6
66.132.195.68	6
66.132.195.79	6
66.132.195.81	6
66.132.195.88	6
66.132.195.95	6
66.132.195.102	6
66.132.195.103	6
66.132.195.109	6
66.132.195.112	6
66.132.195.118	6
66.132.224.83	6
66.132.224.88	6
66.132.224.90	6
66.132.224.94	6
66.132.224.223	6
66.132.224.228	6
66.132.224.230	6
66.132.224.235	6
66.132.224.237	6
66.132.224.238	6
77.239.124.251	6
80.66.66.68	6
80.82.77.139	6
80.94.92.234	6
80.94.95.242	6
82.67.188.250	6
83.226.181.38	6
83.239.84.130	6
86.54.31.34	6
86.54.31.38	6
87.103.126.54	6
87.192.253.110	6
88.147.30.59	6
89.126.211.166	6
89.248.167.131	6
89.248.172.11	6
91.92.47.35	6
92.118.39.14	6
92.118.39.71	6
92.118.39.77	6
93.123.109.228	6
95.181.232.51	6
95.215.0.144	6
98.94.81.30	6
101.36.104.242	6
101.51.157.107	6
103.26.136.173	6
103.28.148.61	6
103.46.186.105	6
103.78.2.252	6
103.159.85.90	6
103.241.168.70	6
106.15.238.36	6
107.173.127.185	6
110.35.80.116	6
110.173.190.221	6
113.20.8.90	6
115.231.78.11	6
116.114.84.246	6
120.238.23.168	6
121.139.15.185	6
123.129.245.249	6
125.21.59.218	6
135.237.126.250	6
135.237.127.45	6
144.202.92.17	6
147.185.132.18	6
147.185.132.24	6
147.185.132.108	6
147.185.132.126	6
147.185.132.246	6
148.153.56.174	6
150.242.14.129	6
152.32.200.22	6
154.16.115.34	6
156.239.238.244	6
157.245.213.135	6
158.51.96.38	6
159.223.29.238	6
160.187.247.119	6
161.33.223.242	6
161.118.212.147	6
162.240.148.144	6
162.241.130.124	6
163.7.1.156	6
164.92.109.155	6
165.154.51.225	6
165.154.227.8	6
165.154.236.104	6
167.94.146.49	6
167.94.146.50	6
167.94.146.51	6
167.94.146.55	6
167.94.146.60	6
171.25.193.78	6
172.94.9.107	6
172.110.223.149	6
175.206.1.60	6
176.32.193.16	6
178.178.222.58	6
179.184.85.167	6
182.43.76.120	6
183.66.166.30	6
184.105.247.195	6
184.154.245.42	6
185.177.72.38	6
185.177.72.66	6
185.180.141.12	6
185.180.141.13	6
185.180.141.14	6
185.180.141.42	6
185.226.197.27	6
185.226.197.47	6
185.242.3.121	6
187.8.64.94	6
187.8.120.90	6
189.194.140.170	6
192.42.116.15	6
192.248.150.180	6
194.180.49.37	6
195.178.110.102	6
195.178.110.217	6
195.178.110.228	6
197.242.170.10	6
197.253.54.22	6
198.46.237.172	6
198.199.123.141	6
199.45.154.78	6
199.45.154.114	6
199.45.155.58	6
199.45.155.66	6
199.45.155.67	6
199.45.155.77	6
199.45.155.89	6
199.45.155.90	6
199.45.155.95	6
200.232.114.71	6
200.255.205.162	6
207.175.205.217	6
211.227.110.14	6
211.228.113.27	6
213.5.130.217	6
213.177.179.12	6
216.226.77.30	6
218.13.26.42	6
218.146.255.221	6
220.76.68.23	6
220.80.223.144	6
220.90.220.204	6
220.123.222.114	6
220.180.107.193	6
220.247.224.226	6
221.165.172.38	6
222.128.80.201	6
1.92.151.36	5
1.94.242.54	5
1.220.233.171	5
1.255.171.167	5
2.54.85.220	5
2.55.88.51	5
2.57.122.209	5
3.87.52.46	5
3.94.102.45	5
3.95.176.169	5
3.131.220.121	5
5.61.209.44	5
5.189.135.59	5
5.226.140.83	5
5.226.140.99	5
5.226.140.119	5
8.148.180.18	5
8.208.44.152	5
8.216.8.179	5
9.234.10.182	5
13.86.106.3	5
13.218.73.191	5
14.63.217.28	5
14.103.10.167	5
14.116.156.100	5
14.225.5.67	5
16.5.0.133	5
18.212.223.42	5
20.15.164.68	5
20.29.47.111	5
20.29.49.134	5
20.64.104.93	5
20.64.105.127	5
20.64.105.243	5
20.64.106.118	5
20.65.138.97	5
20.65.192.101	5
20.65.192.160	5
20.65.193.34	5
20.65.193.82	5
20.65.193.130	5
20.65.193.177	5
20.65.193.207	5
20.65.193.213	5
20.65.193.252	5
20.65.194.42	5
20.65.194.68	5
20.65.194.96	5
20.65.194.122	5
20.65.194.128	5
20.65.194.129	5
20.65.194.143	5
20.65.194.176	5
20.65.195.33	5
20.65.195.53	5
20.65.195.121	5
20.65.219.43	5
20.65.219.131	5
20.80.88.209	5
20.114.196.91	5
20.118.200.9	5
20.118.217.73	5
20.122.141.10	5
20.127.187.7	5
20.153.204.5	5
20.163.15.43	5
20.163.38.129	5
20.169.51.3	5
20.169.53.8	5
20.220.10.235	5
24.97.253.246	5
24.142.170.231	5
31.14.32.4	5
31.14.254.15	5
31.14.254.33	5
31.70.85.152	5
31.132.90.3	5
31.173.66.222	5
32.193.246.97	5
34.53.160.61	5
34.76.114.79	5
34.77.193.157	5
34.78.195.186	5
34.94.4.247	5
34.125.20.149	5
34.140.55.90	5
34.193.119.44	5
34.230.221.101	5
35.203.210.35	5
35.203.210.110	5
35.203.210.147	5
35.203.210.155	5
35.203.210.162	5
35.203.210.211	5
35.203.210.217	5
35.203.210.218	5
35.203.211.152	5
35.203.211.178	5
35.203.211.184	5
35.233.53.181	5
36.135.62.103	5
36.137.38.119	5
36.138.78.195	5
36.139.229.71	5
36.189.81.101	5
37.10.113.219	5
37.10.113.222	5
37.140.197.71	5
38.199.201.3	5
40.76.250.51	5
40.80.84.77	5
40.80.204.149	5
40.83.182.122	5
40.119.46.97	5
40.124.172.78	5
40.124.173.235	5
40.124.174.138	5
40.124.174.209	5
40.124.175.131	5
40.124.179.252	5
41.63.63.211	5
41.220.3.101	5
41.222.36.68	5
43.108.44.92	5
43.128.81.242	5
43.134.23.41	5
43.136.49.229	5
43.155.238.153	5
43.156.115.92	5
43.255.104.39	5
44.202.18.236	5
44.211.197.174	5
45.33.14.197	5
45.33.107.63	5
45.33.109.18	5
45.61.177.176	5
45.61.177.177	5
45.61.177.178	5
45.61.177.186	5
45.61.177.187	5
45.61.177.188	5
45.61.177.200	5
45.61.182.81	5
45.61.182.84	5
45.63.4.69	5
45.79.5.11	5
45.79.8.221	5
45.79.115.134	5
45.79.128.205	5
45.79.181.223	5
45.79.181.251	5
45.79.207.71	5
45.82.78.100	5
45.82.78.107	5
45.84.107.172	5
45.142.193.164	5
45.153.34.71	5
45.153.34.158	5
45.153.34.165	5
45.156.128.101	5
45.156.128.168	5
45.156.129.67	5
45.156.129.70	5
45.156.129.71	5
45.156.129.80	5
45.156.129.97	5
45.156.129.110	5
45.156.129.136	5
45.156.129.165	5
45.156.129.176	5
45.178.227.0	5
45.198.224.110	5
45.232.73.84	5
46.105.31.171	5
47.103.36.53	5
47.250.80.158	5
47.254.192.213	5
49.49.231.46	5
49.64.169.153	5
49.248.197.50	5
50.17.101.4	5
50.114.172.201	5
50.116.72.139	5
50.235.31.47	5
51.68.226.87	5
51.75.253.68	5
51.79.86.104	5
52.21.227.35	5
52.141.19.25	5
52.165.80.210	5
54.87.132.92	5
54.157.229.233	5
54.163.206.20	5
54.166.249.45	5
54.172.52.31	5
54.235.52.37	5
54.236.38.3	5
58.186.20.101	5
58.209.82.167	5
59.26.33.16	5
59.144.92.154	5
60.12.5.190	5
60.166.8.174	5
60.166.31.198	5
60.171.135.254	5
60.173.105.206	5
60.173.164.3	5
61.73.190.98	5
61.76.38.54	5
61.105.6.100	5
61.146.235.54	5
61.184.128.210	5
62.164.177.222	5
62.210.142.62	5
62.210.142.65	5
62.210.142.164	5
62.210.142.167	5
62.210.142.168	5
62.210.142.172	5
64.62.156.24	5
64.62.156.38	5
64.62.156.94	5
64.62.156.108	5
64.62.156.132	5
64.62.156.152	5
64.62.156.172	5
64.62.156.192	5
64.62.156.202	5
64.62.156.222	5
64.62.197.2	5
64.62.197.8	5
64.62.197.31	5
64.62.197.32	5
64.62.197.61	5
64.62.197.62	5
64.62.197.122	5
64.62.197.137	5
64.62.197.167	5
64.62.197.182	5
64.62.197.212	5
64.72.74.162	5
64.89.160.242	5
64.89.161.91	5
64.89.163.26	5
64.225.75.246	5
65.20.138.3	5
65.49.1.122	5
65.49.1.212	5
65.49.20.66	5
65.49.20.67	5
65.49.20.68	5
66.132.172.34	5
66.132.172.36	5
66.132.172.39	5
66.132.172.41	5
66.132.172.42	5
66.132.172.45	5
66.132.172.46	5
66.132.172.47	5
66.132.172.102	5
66.132.172.104	5
66.132.172.106	5
66.132.172.109	5
66.132.172.111	5
66.132.172.129	5
66.132.172.133	5
66.132.172.142	5
66.132.172.177	5
66.132.172.179	5
66.132.172.181	5
66.132.172.184	5
66.132.172.185	5
66.132.172.187	5
66.132.172.188	5
66.132.172.189	5
66.132.172.190	5
66.132.172.191	5
66.132.172.195	5
66.132.172.196	5
66.132.172.201	5
66.132.172.203	5
66.132.172.205	5
66.132.172.210	5
66.132.172.211	5
66.132.172.217	5
66.132.172.221	5
66.132.172.223	5
66.132.186.161	5
66.132.186.163	5
66.132.186.164	5
66.132.186.165	5
66.132.186.170	5
66.132.186.171	5
66.132.186.173	5
66.132.186.177	5
66.132.186.178	5
66.132.186.180	5
66.132.186.181	5
66.132.186.182	5
66.132.186.184	5
66.132.186.187	5
66.132.186.188	5
66.132.186.193	5
66.132.186.194	5
66.132.186.197	5
66.132.186.199	5
66.132.186.201	5
66.132.186.203	5
66.132.186.205	5
66.132.186.206	5
66.132.195.31	5
66.132.195.32	5
66.132.195.34	5
66.132.195.36	5
66.132.195.46	5
66.132.195.49	5
66.132.195.53	5
