# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 06 Sep 2026 15:53:30 +0200
#
# IP	number of (black)lists
#
77.90.185.20	10
18.218.118.203	9
62.60.130.201	9
62.60.130.242	9
62.60.130.253	9
89.248.167.131	9
107.150.97.10	9
138.226.239.234	9
167.94.146.51	9
167.94.146.53	9
167.94.146.60	9
167.94.146.63	9
193.47.62.69	9
2.57.121.112	8
2.57.122.53	8
3.129.187.38	8
3.130.168.2	8
14.63.217.28	8
45.148.10.141	8
45.148.10.151	8
45.148.10.152	8
45.148.10.157	8
45.153.34.158	8
64.62.197.48	8
66.132.172.129	8
66.132.195.57	8
66.132.195.97	8
66.132.195.101	8
66.132.195.121	8
66.132.224.227	8
85.239.149.72	8
92.118.39.77	8
103.78.2.252	8
138.226.239.233	8
167.94.146.48	8
167.94.146.52	8
167.94.146.61	8
185.132.43.9	8
195.178.110.218	8
199.45.154.120	8
220.80.223.144	8
2.57.122.150	7
3.131.220.121	7
12.156.67.18	7
16.5.0.236	7
16.5.0.237	7
16.5.0.244	7
16.5.0.245	7
18.116.101.220	7
23.94.145.109	7
31.58.216.82	7
39.175.51.58	7
45.63.4.69	7
45.90.163.37	7
45.148.10.183	7
45.148.10.240	7
50.84.211.204	7
51.38.71.171	7
51.75.253.68	7
51.222.85.30	7
59.26.33.16	7
61.76.112.4	7
63.249.65.106	7
64.62.156.24	7
64.62.197.2	7
64.62.197.17	7
64.62.197.32	7
64.62.197.107	7
64.62.197.167	7
64.89.161.91	7
65.49.1.24	7
65.49.1.38	7
65.49.1.52	7
65.49.1.142	7
65.49.1.162	7
65.49.1.202	7
65.49.20.67	7
65.49.20.69	7
66.132.172.33	7
66.132.172.37	7
66.132.172.40	7
66.132.172.43	7
66.132.172.97	7
66.132.172.100	7
66.132.172.104	7
66.132.172.106	7
66.132.172.110	7
66.132.172.111	7
66.132.172.132	7
66.132.172.133	7
66.132.172.140	7
66.132.172.142	7
66.132.172.176	7
66.132.172.177	7
66.132.172.178	7
66.132.172.180	7
66.132.172.186	7
66.132.172.187	7
66.132.172.189	7
66.132.172.190	7
66.132.172.194	7
66.132.172.204	7
66.132.172.206	7
66.132.172.215	7
66.132.172.223	7
66.132.186.166	7
66.132.186.169	7
66.132.186.172	7
66.132.186.179	7
66.132.186.190	7
66.132.186.196	7
66.132.195.32	7
66.132.195.34	7
66.132.195.46	7
66.132.195.51	7
66.132.195.52	7
66.132.195.54	7
66.132.195.55	7
66.132.195.59	7
66.132.195.67	7
66.132.195.69	7
66.132.195.79	7
66.132.195.83	7
66.132.195.92	7
66.132.195.93	7
66.132.195.98	7
66.132.195.99	7
66.132.195.102	7
66.132.195.105	7
66.132.195.114	7
66.132.224.82	7
66.132.224.90	7
66.132.224.225	7
66.132.224.228	7
66.132.224.234	7
66.132.224.235	7
68.178.166.175	7
69.5.169.244	7
77.239.124.130	7
79.3.96.178	7
81.192.46.45	7
83.235.16.111	7
85.217.149.8	7
85.217.149.9	7
85.217.149.10	7
85.217.149.11	7
85.217.149.13	7
85.217.149.14	7
85.217.149.15	7
85.217.149.17	7
85.217.149.19	7
85.217.149.20	7
85.217.149.22	7
85.217.149.23	7
85.217.149.25	7
85.217.149.26	7
85.217.149.29	7
85.217.149.30	7
85.217.149.31	7
85.217.149.33	7
85.217.149.34	7
85.217.149.35	7
85.217.149.36	7
85.217.149.38	7
85.217.149.39	7
85.217.149.40	7
85.217.149.41	7
85.217.149.47	7
85.217.149.48	7
85.217.149.57	7
85.217.149.58	7
85.217.149.59	7
85.217.149.60	7
85.217.149.61	7
89.248.172.11	7
92.27.101.99	7
92.118.39.14	7
92.118.39.50	7
93.152.221.206	7
95.85.245.227	7
95.173.161.147	7
102.220.160.42	7
102.220.160.124	7
103.63.101.24	7
103.118.29.32	7
103.182.132.154	7
103.200.23.107	7
103.205.107.170	7
116.114.94.242	7
118.122.147.195	7
