# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 10 Sep 2026 03:04:09 +0200
#
# IP	number of (black)lists
#
77.90.185.20	11
138.226.239.234	11
2.57.121.112	10
16.5.0.244	10
31.58.216.82	10
107.150.97.10	10
138.226.239.233	10
167.94.146.56	10
16.5.0.254	9
62.60.130.201	9
62.60.130.242	9
62.60.130.253	9
64.62.156.10	9
64.62.197.137	9
65.49.20.67	9
66.132.172.36	9
66.132.172.130	9
66.132.172.141	9
66.132.186.199	9
66.132.195.123	9
68.178.166.175	9
80.94.95.115	9
85.217.149.39	9
85.239.149.72	9
89.248.167.131	9
95.173.161.147	9
167.94.146.48	9
167.94.146.55	9
167.94.146.63	9
193.47.62.69	9
2.57.122.53	8
2.57.122.209	8
2.57.122.238	8
3.129.187.38	8
16.5.0.245	8
18.218.118.203	8
36.66.16.233	8
38.148.20.75	8
64.62.156.24	8
64.62.156.52	8
64.62.156.66	8
64.62.156.80	8
64.62.156.94	8
64.62.156.122	8
64.62.156.142	8
64.62.156.152	8
64.62.156.162	8
64.62.156.192	8
64.62.156.202	8
64.62.156.212	8
64.62.156.222	8
64.62.197.2	8
64.62.197.107	8
64.62.197.227	8
65.49.1.10	8
65.49.1.66	8
65.49.1.108	8
65.49.1.162	8
65.49.1.172	8
65.49.1.182	8
65.49.20.68	8
66.132.172.104	8
66.132.172.108	8
66.132.172.110	8
66.132.172.134	8
66.132.172.139	8
66.132.172.178	8
66.132.172.188	8
66.132.172.189	8
66.132.172.194	8
66.132.172.198	8
66.132.172.201	8
66.132.172.211	8
66.132.172.220	8
66.132.186.176	8
66.132.186.182	8
66.132.186.200	8
66.132.186.202	8
66.132.195.34	8
66.132.195.37	8
66.132.195.38	8
66.132.195.46	8
66.132.195.62	8
66.132.195.66	8
66.132.195.67	8
66.132.195.74	8
66.132.195.81	8
66.132.195.82	8
66.132.195.88	8
66.132.195.92	8
66.132.195.96	8
66.132.195.101	8
66.132.195.105	8
66.132.195.109	8
66.132.195.110	8
66.132.195.112	8
66.132.195.126	8
77.239.124.130	8
80.82.77.139	8
80.94.92.234	8
81.211.72.167	8
82.39.154.137	8
85.217.149.9	8
85.217.149.15	8
85.217.149.16	8
85.217.149.20	8
85.217.149.21	8
85.217.149.31	8
85.217.149.45	8
85.217.149.57	8
85.217.149.61	8
86.54.31.38	8
92.118.39.71	8
103.63.101.24	8
103.78.2.252	8
103.118.29.32	8
120.48.90.166	8
129.121.128.70	8
144.225.6.182	8
147.185.132.39	8
147.185.132.153	8
147.185.132.234	8
167.94.146.53	8
167.94.146.54	8
167.94.146.58	8
167.94.146.59	8
171.244.14.216	8
185.132.43.9	8
185.242.226.17	8
193.32.204.199	8
193.46.255.86	8
195.178.110.228	8
198.235.24.170	8
199.45.154.113	8
2.26.96.139	7
2.57.121.25	7
2.57.122.150	7
3.18.221.28	7
3.130.168.2	7
12.156.67.18	7
14.63.217.28	7
16.5.0.236	7
18.116.101.220	7
31.14.32.4	7
36.64.131.68	7
40.83.182.122	7
45.117.177.47	7
45.148.10.141	7
45.148.10.151	7
45.148.10.152	7
45.148.10.157	7
45.156.128.61	7
45.156.128.62	7
45.156.128.63	7
45.156.128.66	7
45.156.128.67	7
45.156.128.69	7
45.156.128.76	7
45.205.1.241	7
51.75.21.168	7
51.222.85.30	7
54.36.99.29	7
59.26.33.16	7
60.199.224.2	7
64.62.156.38	7
64.62.156.132	7
64.62.156.172	7
64.62.156.182	7
64.62.197.17	7
64.62.197.32	7
64.62.197.62	7
64.62.197.77	7
64.62.197.152	7
64.62.197.182	7
64.62.197.197	7
64.62.197.212	7
65.49.1.38	7
65.49.1.52	7
65.49.1.80	7
65.49.1.94	7
65.49.1.122	7
65.49.1.132	7
65.49.1.142	7
65.49.1.152	7
65.49.1.232	7
65.49.20.66	7
65.49.20.69	7
66.132.172.33	7
66.132.172.35	7
66.132.172.39	7
66.132.172.40	7
66.132.172.42	7
66.132.172.44	7
66.132.172.45	7
66.132.172.98	7
66.132.172.99	7
66.132.172.101	7
66.132.172.102	7
66.132.172.105	7
66.132.172.106	7
66.132.172.107	7
66.132.172.109	7
66.132.172.111	7
66.132.172.128	7
66.132.172.132	7
66.132.172.138	7
66.132.172.142	7
66.132.172.143	7
66.132.172.180	7
66.132.172.181	7
66.132.172.182	7
66.132.172.185	7
66.132.172.187	7
66.132.172.191	7
66.132.172.196	7
66.132.172.199	7
66.132.172.200	7
66.132.172.206	7
66.132.172.212	7
66.132.172.219	7
66.132.172.222	7
66.132.186.161	7
66.132.186.167	7
66.132.186.168	7
66.132.186.169	7
66.132.186.170	7
66.132.186.171	7
66.132.186.179	7
66.132.186.180	7
66.132.186.181	7
66.132.186.185	7
66.132.186.187	7
66.132.186.191	7
66.132.186.192	7
66.132.186.194	7
66.132.186.201	7
66.132.186.203	7
66.132.195.32	7
66.132.195.35	7
66.132.195.40	7
66.132.195.45	7
66.132.195.48	7
66.132.195.51	7
66.132.195.53	7
66.132.195.55	7
66.132.195.57	7
66.132.195.64	7
66.132.195.80	7
66.132.195.84	7
66.132.195.87	7
66.132.195.89	7
66.132.195.93	7
66.132.195.95	7
66.132.195.97	7
66.132.195.99	7
66.132.195.103	7
66.132.195.119	7
66.132.195.121	7
66.132.224.82	7
66.132.224.86	7
66.132.224.227	7
66.132.224.228	7
66.132.224.230	7
66.132.224.234	7
66.240.223.208	7
68.233.116.124	7
69.5.169.20	7
69.5.169.107	7
71.6.134.228	7
71.6.135.131	7
71.6.199.23	7
77.239.124.104	7
79.3.96.178	7
80.82.77.33	7
80.94.95.116	7
83.235.16.111	7
85.11.167.132	7
85.217.149.0	7
85.217.149.1	7
85.217.149.8	7
85.217.149.10	7
85.217.149.11	7
85.217.149.12	7
85.217.149.13	7
85.217.149.14	7
85.217.149.17	7
85.217.149.18	7
85.217.149.19	7
85.217.149.22	7
85.217.149.24	7
85.217.149.25	7
85.217.149.26	7
85.217.149.28	7
85.217.149.29	7
85.217.149.30	7
85.217.149.32	7
85.217.149.33	7
85.217.149.34	7
85.217.149.35	7
85.217.149.36	7
85.217.149.38	7
85.217.149.40	7
85.217.149.41	7
85.217.149.42	7
85.217.149.44	7
85.217.149.46	7
85.217.149.47	7
85.217.149.48	7
85.217.149.55	7
85.217.149.58	7
85.217.149.59	7
85.217.149.60	7
85.217.149.62	7
86.54.31.32	7
86.54.31.40	7
87.106.47.28	7
87.120.104.29	7
93.174.95.106	7
103.13.206.100	7
103.46.186.148	7
103.48.192.48	7
103.63.108.25	7
103.69.96.120	7
103.84.236.222	7
103.147.159.91	7
103.229.125.91	7
106.15.238.36	7
107.175.227.45	7
116.114.84.246	7
116.228.233.93	7
119.96.157.188	7
124.243.191.241	7
125.31.2.160	7
128.14.237.43	7
129.121.51.190	7
131.100.242.102	7
147.185.132.25	7
147.185.132.27	7
147.185.132.48	7
147.185.132.73	7
147.185.132.84	7
147.185.132.87	7
147.185.132.93	7
147.185.132.105	7
147.185.132.120	7
147.185.132.123	7
147.185.132.126	7
147.185.132.132	7
147.185.132.156	7
147.185.132.171	7
147.185.132.246	7
150.5.154.160	7
158.51.126.147	7
159.89.133.65	7
163.7.4.169	7
164.52.105.37	7
167.94.146.49	7
167.94.146.50	7
167.94.146.52	7
167.94.146.57	7
167.94.146.60	7
167.94.146.61	7
167.94.146.62	7
168.144.65.188	7
170.238.160.191	7
172.236.228.86	7
179.184.85.167	7
181.188.176.242	7
182.93.50.90	7
185.158.22.150	7
185.242.226.19	7
189.204.230.91	7
189.217.130.86	7
190.129.122.185	7
192.42.116.42	7
193.24.211.218	7
193.32.162.84	7
193.187.110.213	7
195.178.110.217	7
195.178.110.218	7
195.178.110.227	7
195.182.16.23	7
195.184.76.2	7
195.184.76.9	7
195.184.76.13	7
195.184.76.233	7
195.184.76.238	7
197.221.232.44	7
198.235.24.51	7
198.235.24.164	7
198.235.24.239	7
199.45.154.48	7
199.45.154.67	7
203.150.107.244	7
204.76.203.50	7
205.210.31.70	7
205.210.31.71	7
205.210.31.90	7
205.210.31.99	7
205.210.31.107	7
205.210.31.110	7
205.210.31.186	7
205.210.31.216	7
205.210.31.217	7
205.210.31.218	7
205.210.31.240	7
207.166.168.11	7
207.166.172.198	7
211.106.133.202	7
211.253.31.30	7
213.209.159.175	7
216.226.76.10	7
220.80.223.144	7
220.90.220.204	7
220.127.148.6	7
221.156.126.1	7
223.123.65.54	7
1.30.199.218	6
2.26.64.195	6
2.27.120.155	6
2.57.122.168	6
2.189.128.6	6
3.131.220.121	6
5.99.196.202	6
13.218.73.191	6
13.220.91.9	6
14.29.198.130	6
14.29.208.128	6
14.29.240.154	6
14.103.118.61	6
14.103.118.140	6
14.224.213.222	6
14.224.253.94	6
20.106.206.151	6
20.118.210.179	6
20.168.117.0	6
23.94.145.109	6
23.95.122.72	6
27.79.3.119	6
27.110.166.67	6
31.57.62.245	6
31.76.57.198	6
31.132.90.3	6
34.72.42.51	6
34.93.128.179	6
34.142.110.144	6
34.239.105.156	6
35.203.210.62	6
35.222.117.243	6
35.237.94.18	6
36.41.173.197	6
36.64.68.99	6
36.99.46.101	6
36.135.103.30	6
36.255.220.145	6
37.187.35.26	6
39.109.116.214	6
39.120.34.60	6
40.71.90.11	6
40.119.28.198	6
40.124.122.41	6
41.33.91.226	6
41.59.202.241	6
41.111.227.10	6
41.207.248.138	6
41.220.3.101	6
41.242.115.83	6
42.1.65.77	6
43.133.140.5	6
43.134.85.158	6
43.155.134.4	6
43.156.33.17	6
43.156.115.178	6
44.32.81.28	6
45.17.39.120	6
45.63.4.69	6
45.64.75.227	6
45.79.181.223	6
45.82.78.104	6
