# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 21 Sep 2026 03:01:54 +0200
#
# IP	number of (black)lists
#
95.85.245.227	11
2.57.121.112	10
16.5.0.234	10
45.43.60.98	10
77.90.185.20	10
195.178.110.218	10
199.45.154.120	10
16.5.0.238	9
18.116.101.220	9
45.148.10.151	9
45.148.10.152	9
45.148.10.183	9
45.156.128.76	9
62.60.130.242	9
64.62.197.32	9
64.62.197.152	9
66.132.172.39	9
66.132.172.41	9
66.132.172.100	9
66.132.186.184	9
66.132.186.201	9
66.132.195.31	9
66.132.195.50	9
66.132.195.51	9
66.132.195.57	9
66.132.195.61	9
66.132.195.74	9
66.132.195.79	9
66.132.195.97	9
66.132.195.98	9
66.132.195.99	9
66.132.195.104	9
66.132.195.105	9
66.132.195.106	9
66.132.195.111	9
66.132.224.80	9
77.239.124.121	9
79.72.3.119	9
85.217.149.61	9
93.152.221.108	9
94.154.43.254	9
103.63.101.24	9
107.150.97.10	9
160.250.132.238	9
167.94.146.49	9
167.94.146.51	9
167.94.146.52	9
167.94.146.57	9
167.94.146.59	9
199.45.154.123	9
2.57.121.25	8
2.57.122.53	8
2.57.122.238	8
16.5.0.240	8
16.5.0.241	8
16.5.0.242	8
36.92.107.106	8
39.109.116.214	8
45.148.10.141	8
45.148.10.157	8
45.156.128.63	8
45.156.128.64	8
45.156.128.66	8
45.156.128.78	8
45.156.128.158	8
45.156.128.169	8
45.156.129.70	8
45.156.129.90	8
45.156.129.136	8
51.68.226.87	8
62.60.130.201	8
64.62.197.227	8
66.132.172.33	8
66.132.172.35	8
66.132.172.38	8
66.132.172.43	8
66.132.172.47	8
66.132.172.99	8
66.132.172.101	8
66.132.172.108	8
66.132.172.109	8
66.132.172.129	8
66.132.172.130	8
66.132.172.131	8
66.132.172.132	8
66.132.172.134	8
66.132.172.136	8
66.132.172.139	8
66.132.172.142	8
66.132.172.143	8
66.132.172.176	8
66.132.172.177	8
66.132.172.180	8
66.132.172.181	8
66.132.172.182	8
66.132.172.183	8
66.132.172.186	8
66.132.172.188	8
66.132.172.191	8
66.132.172.192	8
66.132.172.195	8
66.132.172.202	8
66.132.172.207	8
66.132.172.213	8
66.132.172.214	8
66.132.172.215	8
66.132.172.219	8
66.132.172.220	8
66.132.186.161	8
66.132.186.162	8
66.132.186.172	8
66.132.186.173	8
66.132.186.177	8
66.132.186.181	8
66.132.186.182	8
66.132.186.183	8
66.132.186.187	8
66.132.186.191	8
66.132.186.195	8
66.132.186.197	8
66.132.186.204	8
66.132.195.42	8
66.132.195.47	8
66.132.195.48	8
66.132.195.52	8
66.132.195.55	8
66.132.195.59	8
66.132.195.60	8
66.132.195.65	8
66.132.195.67	8
66.132.195.72	8
66.132.195.75	8
66.132.195.81	8
66.132.195.84	8
66.132.195.85	8
66.132.195.86	8
66.132.195.87	8
66.132.195.88	8
66.132.195.93	8
66.132.195.94	8
66.132.195.95	8
66.132.195.100	8
66.132.195.103	8
66.132.195.116	8
66.132.195.121	8
66.132.195.123	8
66.132.224.92	8
68.178.166.175	8
80.82.77.139	8
80.94.92.234	8
83.250.4.220	8
85.217.149.9	8
85.217.149.16	8
85.217.149.26	8
85.217.149.35	8
85.217.149.44	8
