# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Tue, 22 Sep 2026 03:01:52 +0200
#
# IP	number of (black)lists
#
94.154.43.254	11
107.150.97.10	10
16.5.0.234	9
16.5.0.238	9
16.5.0.239	9
16.5.0.241	9
45.43.60.98	9
77.239.124.121	9
79.72.3.119	9
85.217.149.47	9
94.154.43.69	9
167.94.146.61	9
167.94.146.62	9
199.45.154.76	9
2.57.121.112	8
2.57.122.53	8
16.5.0.240	8
16.5.0.242	8
18.116.101.220	8
39.109.116.214	8
64.62.197.32	8
66.132.172.33	8
66.132.172.35	8
66.132.172.46	8
66.132.172.188	8
66.132.172.208	8
66.132.172.217	8
66.132.186.161	8
66.132.186.171	8
66.132.186.176	8
66.132.186.187	8
66.132.186.197	8
66.132.186.199	8
66.132.195.42	8
66.132.195.50	8
66.132.195.51	8
66.132.195.59	8
66.132.195.60	8
66.132.195.69	8
66.132.195.93	8
66.132.195.100	8
66.132.195.105	8
66.132.195.111	8
66.132.195.121	8
66.132.195.123	8
66.132.224.80	8
66.132.224.86	8
66.132.224.87	8
66.132.224.91	8
66.132.224.94	8
69.5.169.162	8
69.5.169.234	8
85.217.149.0	8
85.217.149.13	8
85.217.149.16	8
85.217.149.17	8
85.217.149.18	8
85.217.149.24	8
85.217.149.26	8
85.217.149.32	8
85.217.149.33	8
85.217.149.35	8
85.217.149.39	8
85.217.149.40	8
85.217.149.42	8
85.217.149.44	8
85.217.149.45	8
85.217.149.46	8
85.217.149.56	8
85.217.149.58	8
85.217.149.62	8
86.54.31.40	8
93.152.221.108	8
94.102.49.193	8
94.154.43.223	8
95.85.245.227	8
103.63.101.24	8
129.121.128.70	8
147.185.132.12	8
147.185.132.42	8
147.185.132.45	8
147.185.132.70	8
147.185.132.88	8
147.185.132.90	8
147.185.132.111	8
147.185.132.135	8
147.185.132.171	8
147.185.132.183	8
147.185.132.237	8
147.185.132.249	8
160.250.132.238	8
167.94.146.48	8
167.94.146.50	8
167.94.146.52	8
167.94.146.54	8
167.94.146.55	8
167.94.146.56	8
167.94.146.57	8
167.94.146.58	8
167.94.146.59	8
167.94.146.60	8
167.94.146.63	8
176.65.139.206	8
195.178.110.218	8
199.45.154.47	8
199.45.154.118	8
199.45.155.62	8
216.180.246.244	8
220.80.223.144	8
2.57.122.150	7
2.57.122.238	7
14.225.239.154	7
31.14.32.4	7
31.57.62.245	7
37.120.213.13	7
40.74.210.112	7
45.148.10.141	7
45.148.10.151	7
45.148.10.152	7
45.148.10.157	7
45.156.128.61	7
45.156.129.80	7
45.156.129.82	7
45.156.129.98	7
45.198.224.127	7
45.198.224.184	7
46.10.201.90	7
64.62.156.10	7
64.62.156.38	7
64.62.156.66	7
64.62.156.94	7
64.62.156.172	7
64.62.156.182	7
64.62.156.212	7
64.62.156.222	7
64.62.197.2	7
64.62.197.17	7
64.62.197.48	7
64.62.197.62	7
64.62.197.73	7
64.62.197.77	7
64.62.197.79	7
64.62.197.92	7
64.62.197.94	7
64.62.197.102	7
64.62.197.107	7
64.62.197.122	7
64.62.197.137	7
64.62.197.152	7
64.62.197.167	7
64.62.197.182	7
64.62.197.197	7
64.62.197.212	7
64.62.197.227	7
64.227.191.20	7
65.49.1.38	7
65.49.1.52	7
65.49.1.66	7
65.49.1.94	7
65.49.1.142	7
66.132.172.34	7
66.132.172.36	7
66.132.172.38	7
66.132.172.39	7
66.132.172.41	7
66.132.172.42	7
66.132.172.43	7
66.132.172.44	7
66.132.172.47	7
66.132.172.96	7
66.132.172.98	7
66.132.172.99	7
66.132.172.100	7
66.132.172.101	7
66.132.172.102	7
66.132.172.105	7
66.132.172.106	7
66.132.172.109	7
66.132.172.111	7
66.132.172.128	7
66.132.172.129	7
66.132.172.130	7
66.132.172.132	7
66.132.172.133	7
66.132.172.135	7
66.132.172.136	7
66.132.172.137	7
66.132.172.138	7
66.132.172.139	7
66.132.172.140	7
66.132.172.141	7
66.132.172.142	7
66.132.172.143	7
66.132.172.176	7
66.132.172.177	7
66.132.172.178	7
66.132.172.180	7
66.132.172.181	7
66.132.172.182	7
66.132.172.183	7
66.132.172.186	7
66.132.172.189	7
66.132.172.190	7
66.132.172.191	7
66.132.172.192	7
66.132.172.194	7
66.132.172.195	7
66.132.172.196	7
66.132.172.198	7
66.132.172.202	7
66.132.172.204	7
66.132.172.205	7
66.132.172.206	7
66.132.172.209	7
66.132.172.210	7
66.132.172.211	7
66.132.172.212	7
66.132.172.213	7
66.132.172.214	7
66.132.172.215	7
66.132.172.219	7
66.132.172.220	7
66.132.172.221	7
66.132.172.223	7
66.132.186.160	7
66.132.186.162	7
66.132.186.163	7
66.132.186.164	7
66.132.186.169	7
66.132.186.172	7
66.132.186.173	7
66.132.186.174	7
66.132.186.175	7
66.132.186.177	7
66.132.186.179	7
66.132.186.181	7
66.132.186.182	7
66.132.186.183	7
66.132.186.184	7
66.132.186.185	7
66.132.186.189	7
66.132.186.191	7
66.132.186.194	7
66.132.186.195	7
66.132.186.196	7
66.132.186.198	7
66.132.186.200	7
66.132.186.201	7
66.132.186.202	7
66.132.186.203	7
66.132.186.204	7
66.132.186.205	7
66.132.186.206	7
66.132.195.32	7
66.132.195.34	7
66.132.195.35	7
66.132.195.36	7
66.132.195.38	7
66.132.195.40	7
66.132.195.41	7
66.132.195.43	7
66.132.195.46	7
66.132.195.47	7
66.132.195.52	7
66.132.195.53	7
66.132.195.54	7
66.132.195.55	7
66.132.195.57	7
66.132.195.61	7
66.132.195.63	7
66.132.195.65	7
66.132.195.66	7
66.132.195.68	7
66.132.195.70	7
66.132.195.71	7
66.132.195.74	7
66.132.195.75	7
66.132.195.76	7
66.132.195.79	7
66.132.195.81	7
66.132.195.82	7
66.132.195.83	7
66.132.195.85	7
66.132.195.87	7
66.132.195.88	7
66.132.195.89	7
66.132.195.90	7
66.132.195.94	7
66.132.195.95	7
66.132.195.96	7
66.132.195.97	7
66.132.195.98	7
66.132.195.99	7
66.132.195.101	7
66.132.195.102	7
66.132.195.103	7
66.132.195.104	7
66.132.195.106	7
66.132.195.109	7
66.132.195.110	7
66.132.195.112	7
66.132.195.114	7
66.132.195.115	7
66.132.195.116	7
66.132.195.117	7
66.132.195.118	7
66.132.195.119	7
66.132.195.124	7
66.132.195.125	7
66.132.224.79	7
66.132.224.81	7
66.132.224.85	7
66.132.224.88	7
66.132.224.90	7
66.132.224.92	7
66.132.224.225	7
66.132.224.227	7
66.132.224.229	7
66.132.224.230	7
66.132.224.231	7
66.132.224.234	7
66.132.224.235	7
66.132.224.236	7
66.240.223.208	7
66.240.223.214	7
69.5.169.26	7
69.5.169.72	7
69.5.169.97	7
69.5.169.121	7
69.5.169.175	7
69.5.169.176	7
69.5.169.184	7
69.5.169.206	7
69.5.169.235	7
69.5.169.239	7
71.6.134.231	7
71.6.134.237	7
71.6.158.166	7
71.6.165.200	7
77.90.185.20	7
77.239.124.130	7
80.94.92.55	7
80.94.92.234	7
85.217.149.3	7
85.217.149.5	7
85.217.149.8	7
85.217.149.9	7
85.217.149.10	7
85.217.149.11	7
85.217.149.12	7
85.217.149.14	7
85.217.149.15	7
85.217.149.19	7
85.217.149.20	7
85.217.149.21	7
85.217.149.22	7
85.217.149.23	7
85.217.149.25	7
85.217.149.28	7
85.217.149.29	7
85.217.149.30	7
85.217.149.31	7
85.217.149.34	7
85.217.149.36	7
85.217.149.38	7
85.217.149.41	7
85.217.149.43	7
85.217.149.48	7
85.217.149.55	7
85.217.149.57	7
85.217.149.59	7
85.217.149.60	7
85.217.149.61	7
86.54.31.32	7
86.54.31.34	7
86.54.31.38	7
89.126.211.166	7
89.248.167.131	7
89.248.172.11	7
92.118.39.14	7
92.118.39.49	7
92.118.39.65	7
92.118.39.71	7
94.26.106.53	7
98.113.203.148	7
102.220.160.67	7
102.223.92.101	7
103.142.240.142	7
109.105.210.69	7
113.23.225.9	7
118.26.38.251	7
138.226.239.233	7
147.185.132.22	7
147.185.132.31	7
147.185.132.33	7
147.185.132.37	7
147.185.132.46	7
147.185.132.49	7
147.185.132.57	7
147.185.132.61	7
147.185.132.67	7
147.185.132.76	7
147.185.132.82	7
147.185.132.84	7
147.185.132.91	7
147.185.132.93	7
147.185.132.94	7
147.185.132.96	7
147.185.132.97	7
147.185.132.100	7
147.185.132.103	7
147.185.132.106	7
147.185.132.109	7
147.185.132.115	7
147.185.132.120	7
147.185.132.150	7
147.185.132.180	7
147.185.132.219	7
147.185.132.252	7
167.94.146.49	7
167.94.146.51	7
167.94.146.53	7
184.105.247.194	7
184.105.247.195	7
184.105.247.252	7
184.105.247.254	7
185.226.197.12	7
185.242.226.17	7
185.242.226.19	7
194.88.98.92	7
194.88.98.122	7
195.178.110.228	7
198.235.24.47	7
198.235.24.49	7
198.235.24.56	7
198.235.24.60	7
198.235.24.64	7
198.235.24.65	7
198.235.24.66	7
198.235.24.78	7
198.235.24.80	7
198.235.24.83	7
198.235.24.86	7
198.235.24.90	7
198.235.24.95	7
198.235.24.96	7
198.235.24.99	7
198.235.24.104	7
198.235.24.105	7
198.235.24.122	7
198.235.24.174	7
198.235.24.192	7
198.235.24.193	7
198.235.24.197	7
198.235.24.201	7
198.235.24.202	7
198.235.24.205	7
198.235.24.222	7
198.235.24.223	7
198.235.24.226	7
198.235.24.234	7
198.235.24.236	7
198.235.24.237	7
198.235.24.238	7
198.235.24.241	7
198.235.24.248	7
198.235.24.249	7
198.235.24.253	7
199.45.154.51	7
199.45.154.66	7
199.45.154.73	7
199.45.154.119	7
199.45.154.120	7
199.45.154.124	7
199.45.155.22	7
199.45.155.47	7
205.210.31.44	7
205.210.31.49	7
205.210.31.53	7
205.210.31.54	7
205.210.31.57	7
205.210.31.69	7
205.210.31.70	7
205.210.31.72	7
205.210.31.73	7
205.210.31.81	7
205.210.31.91	7
205.210.31.99	7
205.210.31.101	7
205.210.31.103	7
205.210.31.106	7
205.210.31.107	7
205.210.31.141	7
205.210.31.168	7
205.210.31.172	7
205.210.31.174	7
205.210.31.176	7
205.210.31.178	7
205.210.31.185	7
205.210.31.192	7
205.210.31.200	7
205.210.31.202	7
205.210.31.204	7
205.210.31.213	7
205.210.31.214	7
205.210.31.215	7
205.210.31.218	7
205.210.31.220	7
205.210.31.225	7
205.210.31.233	7
205.210.31.236	7
205.210.31.239	7
205.210.31.240	7
205.210.31.242	7
205.210.31.246	7
205.210.31.251	7
205.210.31.255	7
216.180.246.53	7
216.180.246.71	7
216.180.246.119	7
216.180.246.137	7
216.180.246.142	7
216.180.246.163	7
216.180.246.170	7
216.180.246.212	7
216.180.246.220	7
216.180.246.225	7
216.180.246.233	7
216.180.246.243	7
216.226.77.30	7
221.161.235.168	7
223.123.65.54	7
2.26.64.195	6
2.57.121.25	6
2.57.122.168	6
2.57.122.209	6
3.88.155.51	6
3.131.220.121	6
4.148.240.242	6
5.180.42.23	6
5.226.140.26	6
8.222.128.242	6
12.156.67.18	6
14.63.217.28	6
16.5.0.236	6
18.234.52.162	6
20.14.93.159	6
20.29.59.86	6
20.64.98.23	6
20.64.98.131	6
20.65.171.36	6
20.80.75.245	6
20.84.43.77	6
20.84.50.54	6
20.84.99.255	6
20.118.36.171	6
20.150.212.114	6
20.168.11.172	6
20.169.82.238	6
20.244.28.141	6
27.118.20.168	6
27.118.23.21	6
34.26.152.184	6
35.203.210.192	6
35.203.211.223	6
35.233.62.151	6
36.64.131.68	6
36.92.107.106	6
36.94.179.154	6
37.34.138.115	6
37.187.35.26	6
37.221.113.13	6
39.109.109.136	6
40.74.213.21	6
