# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 22 Jul 2026 03:00:54 +0200
#
# IP	number of (black)lists
#
77.90.185.20	11
195.178.110.137	11
45.156.87.165	9
61.19.69.203	9
77.83.72.79	9
88.151.33.203	9
103.167.88.166	9
118.26.111.107	9
118.216.88.229	9
167.94.146.58	9
27.155.92.28	8
31.58.179.214	8
45.148.10.141	8
45.148.10.151	8
45.148.10.152	8
45.156.87.178	8
64.226.126.224	8
66.132.186.176	8
66.132.195.57	8
66.132.195.95	8
66.132.195.104	8
66.132.195.114	8
71.6.199.23	8
71.206.190.209	8
80.82.77.139	8
94.102.49.193	8
102.220.160.39	8
167.94.146.50	8
167.94.146.52	8
167.94.146.55	8
167.94.146.61	8
167.94.146.63	8
176.53.159.197	8
176.53.159.198	8
185.65.202.199	8
185.242.3.195	8
192.142.28.77	8
193.24.211.76	8
199.45.154.147	8
199.45.155.64	8
2.57.121.25	7
3.130.168.2	7
5.255.126.29	7
18.218.118.203	7
34.156.1.128	7
34.159.18.221	7
41.75.114.30	7
45.78.230.231	7
45.91.64.7	7
45.148.10.147	7
45.148.10.157	7
45.156.87.13	7
45.227.254.170	7
46.8.245.94	7
46.29.26.195	7
54.165.165.41	7
62.60.130.219	7
62.210.142.167	7
64.89.161.91	7
64.89.162.37	7
64.89.162.38	7
66.132.172.44	7
66.132.172.111	7
66.132.172.131	7
66.132.172.138	7
66.132.172.176	7
66.132.172.190	7
66.132.172.219	7
66.132.186.168	7
66.132.186.179	7
66.132.186.184	7
66.132.186.204	7
66.132.195.47	7
66.132.195.48	7
66.132.195.54	7
66.132.195.61	7
66.132.195.62	7
66.132.195.64	7
66.132.195.65	7
66.132.195.85	7
66.132.195.90	7
66.132.195.93	7
66.132.195.98	7
66.132.195.100	7
66.132.195.103	7
66.132.195.106	7
66.132.195.110	7
66.132.195.111	7
66.132.195.112	7
66.132.195.115	7
66.132.195.116	7
66.132.224.86	7
66.132.224.93	7
66.240.192.138	7
71.6.146.185	7
80.82.77.33	7
80.82.77.202	7
80.94.92.55	7
81.177.101.45	7
83.97.78.224	7
83.239.84.130	7
85.217.140.8	7
85.217.149.65	7
86.54.31.32	7
87.103.126.54	7
87.251.66.118	7
88.147.30.59	7
89.126.211.166	7
89.248.167.131	7
91.92.42.172	7
92.118.39.50	7
93.174.95.106	7
94.26.106.19	7
94.154.43.30	7
95.182.92.198	7
95.215.0.144	7
107.189.10.124	7
109.105.210.77	7
130.12.182.110	7
148.66.142.9	7
152.42.164.200	7
159.65.143.47	7
161.35.74.94	7
167.94.146.51	7
167.94.146.56	7
167.94.146.60	7
175.107.32.186	7
185.70.109.79	7
185.246.130.20	7
189.204.230.91	7
193.32.162.84	7
193.46.255.86	7
195.178.110.217	7
198.98.53.110	7
199.45.154.124	7
199.45.154.125	7
199.45.154.129	7
199.45.155.87	7
199.45.155.90	7
199.45.155.103	7
216.57.110.81	7
220.116.26.179	7
222.120.176.6	7
2.57.121.112	6
2.57.122.209	6
2.57.122.238	6
5.61.209.43	6
5.61.209.92	6
5.101.64.6	6
12.156.67.18	6
14.23.77.27	6
14.54.22.11	6
15.235.199.123	6
16.58.56.214	6
18.116.101.220	6
20.15.164.37	6
20.46.231.161	6
20.64.105.41	6
20.65.136.10	6
20.65.193.67	6
20.65.194.167	6
20.65.195.25	6
20.65.195.59	6
20.65.224.144	6
20.84.153.185	6
20.106.48.26	6
20.127.195.254	6
20.169.49.156	6
20.204.14.100	6
27.79.2.156	6
27.79.45.223	6
31.58.244.174	6
31.59.44.150	6
31.148.99.59	6
34.14.19.199	6
34.34.130.254	6
34.53.225.1	6
34.78.4.101	6
34.81.72.185	6
34.140.123.131	6
34.140.125.71	6
35.195.152.105	6
35.241.165.134	6
36.92.140.209	6
38.191.248.41	6
40.124.173.173	6
40.124.175.103	6
41.63.63.211	6
41.220.3.101	6
43.128.81.242	6
43.130.249.176	6
43.133.140.5	6
43.153.206.227	6
43.156.71.43	6
44.211.62.153	6
45.33.109.18	6
45.43.37.254	6
45.63.4.69	6
45.77.61.56	6
45.78.194.186	6
45.78.202.217	6
45.78.204.246	6
45.78.204.254	6
45.79.181.223	6
45.82.78.102	6
45.90.163.37	6
45.148.10.200	6
45.148.10.240	6
45.153.34.47	6
45.153.34.151	6
45.156.87.182	6
45.156.87.192	6
45.156.87.253	6
45.156.128.168	6
45.156.129.60	6
45.156.129.85	6
45.156.129.95	6
45.156.129.96	6
45.156.129.98	6
45.166.147.237	6
45.172.152.74	6
45.198.224.5	6
45.225.135.21	6
49.51.188.155	6
49.51.199.112	6
49.173.65.19	6
50.6.248.168	6
51.75.253.68	6
52.180.146.145	6
57.129.132.147	6
58.152.42.174	6
58.222.86.210	6
60.173.105.206	6
61.184.128.210	6
62.133.60.31	6
64.62.156.10	6
64.62.156.108	6
64.62.156.152	6
64.62.156.182	6
64.62.156.202	6
64.62.197.137	6
64.62.197.152	6
64.62.197.182	6
64.62.197.227	6
64.72.74.162	6
64.89.161.56	6
64.89.162.146	6
64.226.86.7	6
65.49.1.94	6
65.49.1.142	6
65.49.1.232	6
65.49.139.223	6
66.132.172.37	6
66.132.172.40	6
66.132.172.41	6
66.132.172.46	6
66.132.172.98	6
66.132.172.102	6
66.132.172.104	6
66.132.172.105	6
66.132.172.106	6
66.132.172.129	6
66.132.172.130	6
66.132.172.132	6
66.132.172.139	6
66.132.172.140	6
66.132.172.142	6
66.132.172.143	6
66.132.172.180	6
66.132.172.185	6
66.132.172.186	6
66.132.172.189	6
66.132.172.196	6
66.132.172.197	6
66.132.172.202	6
66.132.172.204	6
66.132.172.205	6
66.132.172.208	6
66.132.172.209	6
66.132.172.220	6
66.132.172.221	6
66.132.172.223	6
66.132.186.177	6
66.132.186.178	6
66.132.186.185	6
66.132.186.189	6
66.132.186.190	6
66.132.186.191	6
66.132.186.202	6
66.132.186.203	6
66.132.195.33	6
66.132.195.35	6
66.132.195.42	6
66.132.195.43	6
66.132.195.49	6
66.132.195.51	6
66.132.195.52	6
66.132.195.53	6
66.132.195.58	6
66.132.195.59	6
66.132.195.69	6
66.132.195.74	6
66.132.195.77	6
66.132.195.78	6
66.132.195.79	6
66.132.195.80	6
66.132.195.81	6
66.132.195.82	6
66.132.195.83	6
66.132.195.86	6
66.132.195.87	6
66.132.195.88	6
66.132.195.92	6
66.132.195.94	6
66.132.195.96	6
66.132.195.101	6
66.132.195.107	6
66.132.195.108	6
66.132.195.113	6
66.132.195.118	6
66.132.195.121	6
66.132.195.124	6
66.132.224.80	6
66.132.224.85	6
66.132.224.87	6
66.132.224.89	6
66.132.224.223	6
66.132.224.224	6
66.132.224.228	6
66.132.224.229	6
66.132.224.230	6
66.132.224.235	6
66.132.224.237	6
66.240.223.208	6
66.240.236.109	6
66.240.236.116	6
66.240.236.119	6
68.183.105.175	6
68.207.224.247	6
69.5.169.36	6
71.6.134.204	6
71.6.134.229	6
71.6.134.236	6
71.6.135.131	6
71.6.146.186	6
71.6.158.166	6
71.6.165.200	6
71.6.199.65	6
71.6.232.24	6
71.6.232.28	6
71.6.232.29	6
74.235.120.62	6
76.132.238.43	6
77.239.124.235	6
79.72.57.232	6
80.94.92.179	6
80.94.92.234	6
80.253.31.232	6
85.217.149.24	6
85.217.149.25	6
85.217.149.57	6
85.217.149.61	6
87.120.84.66	6
89.248.172.11	6
91.92.40.5	6
91.92.40.124	6
91.92.40.176	6
91.92.42.233	6
91.92.47.6	6
91.92.47.37	6
91.92.47.120	6
91.92.47.123	6
91.92.47.128	6
91.92.47.140	6
91.196.152.38	6
91.196.152.121	6
91.231.89.128	6
91.231.89.171	6
92.118.39.14	6
92.118.39.71	6
92.118.39.77	6
92.118.39.78	6
93.152.221.206	6
94.26.106.103	6
94.26.106.234	6
94.154.43.36	6
94.154.43.50	6
94.154.43.66	6
94.154.43.230	6
94.183.231.50	6
95.47.246.223	6
99.6.104.157	6
101.36.104.242	6
101.36.119.203	6
101.47.15.26	6
101.47.156.170	6
101.50.83.146	6
102.220.160.41	6
103.26.136.173	6
103.96.147.148	6
103.143.231.24	6
107.172.57.42	6
109.105.209.10	6
109.105.210.54	6
109.105.210.62	6
109.105.210.64	6
109.105.210.78	6
110.35.80.116	6
111.171.125.94	6
112.167.99.220	6
113.0.152.164	6
113.193.234.210	6
114.98.63.18	6
114.111.54.189	6
116.99.49.208	6
116.114.84.246	6
117.50.51.119	6
117.164.191.217	6
117.175.140.121	6
118.45.101.159	6
119.3.162.103	6
119.18.55.118	6
121.159.71.249	6
122.187.229.12	6
125.31.4.70	6
125.139.124.120	6
128.14.232.142	6
134.122.68.238	6
135.119.89.93	6
135.119.112.121	6
135.237.126.103	6
135.237.126.224	6
135.237.127.112	6
136.232.11.10	6
