# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 09 Aug 2026 03:00:26 +0200
#
# IP	number of (black)lists
#
148.66.142.9	10
195.178.110.137	10
43.153.206.227	9
45.198.224.26	9
77.90.185.20	9
92.5.66.49	9
31.77.227.120	8
66.132.195.52	8
66.132.195.59	8
80.82.77.139	8
108.165.164.23	8
116.99.49.208	8
118.26.111.107	8
167.94.146.52	8
167.94.146.61	8
195.93.244.97	8
1.27.251.252	7
1.255.171.167	7
2.57.122.53	7
2.57.122.238	7
3.130.168.2	7
3.131.220.121	7
45.92.33.82	7
45.148.10.147	7
45.148.10.157	7
45.154.244.193	7
61.184.128.210	7
64.62.156.108	7
66.132.172.130	7
66.132.172.131	7
66.132.172.208	7
66.132.186.184	7
66.132.195.34	7
66.132.195.47	7
66.132.195.91	7
66.132.195.111	7
66.132.224.232	7
66.240.192.138	7
71.6.199.23	7
78.186.54.65	7
79.72.57.232	7
80.82.77.33	7
85.19.195.12	7
86.54.31.32	7
86.54.31.38	7
87.103.126.54	7
88.151.33.203	7
91.92.42.147	7
92.118.39.49	7
93.174.95.106	7
94.183.177.21	7
95.215.0.144	7
101.36.104.242	7
107.173.67.180	7
110.35.80.116	7
112.30.127.9	7
115.248.8.65	7
120.193.9.169	7
125.139.124.120	7
144.202.92.17	7
145.249.109.110	7
152.53.225.147	7
161.118.212.147	7
164.92.109.155	7
165.154.40.244	7
167.94.146.48	7
167.94.146.49	7
167.94.146.50	7
167.94.146.51	7
167.94.146.53	7
167.94.146.55	7
167.94.146.58	7
167.94.146.59	7
167.94.146.63	7
168.144.120.7	7
171.231.185.92	7
174.129.56.240	7
177.174.0.3	7
179.184.85.167	7
185.177.72.5	7
185.177.72.13	7
185.177.72.30	7
185.177.72.54	7
185.177.72.56	7
185.190.25.168	7
185.246.130.20	7
185.255.212.178	7
192.34.128.202	7
195.178.110.218	7
196.189.126.10	7
198.98.53.110	7
199.45.155.72	7
199.45.155.76	7
199.45.155.103	7
210.206.24.237	7
218.13.214.18	7
220.122.115.9	7
222.76.248.54	7
222.117.0.253	7
222.134.147.66	7
1.212.225.99	6
2.55.100.104	6
2.57.121.112	6
2.57.122.209	6
3.86.104.237	6
3.129.187.38	6
8.209.97.27	6
8.221.136.6	6
13.222.142.21	6
14.54.22.11	6
14.194.125.58	6
18.116.101.220	6
18.218.118.203	6
20.29.22.204	6
20.64.105.148	6
20.65.194.180	6
20.65.217.70	6
20.163.15.107	6
20.163.38.129	6
20.171.8.1	6
24.97.253.246	6
24.142.170.231	6
27.79.47.77	6
31.42.177.96	6
31.56.206.108	6
31.130.35.29	6
34.38.33.94	6
34.38.57.241	6
34.62.185.173	6
34.77.203.145	6
35.203.210.174	6
35.203.211.214	6
35.241.181.19	6
40.67.161.178	6
40.124.173.16	6
41.78.74.209	6
41.220.3.101	6
41.224.62.206	6
43.134.239.25	6
45.15.226.187	6
45.63.4.69	6
45.91.64.6	6
45.91.64.7	6
45.148.10.141	6
45.148.10.151	6
45.148.10.152	6
45.156.87.166	6
45.156.128.101	6
45.156.128.106	6
45.164.39.253	6
45.164.115.86	6
46.101.174.194	6
51.75.64.35	6
52.91.210.202	6
54.172.145.72	6
54.175.149.14	6
61.37.150.6	6
62.146.235.70	6
62.210.142.161	6
62.210.142.162	6
64.62.156.10	6
64.62.156.38	6
64.62.156.122	6
64.62.156.132	6
64.62.156.152	6
64.62.156.202	6
64.62.197.77	6
64.62.197.197	6
64.62.197.227	6
64.89.160.201	6
64.89.160.242	6
64.118.150.56	6
65.49.1.24	6
65.49.1.122	6
65.49.1.162	6
65.49.1.232	6
65.49.139.223	6
66.132.172.33	6
66.132.172.37	6
66.132.172.45	6
66.132.172.47	6
66.132.172.100	6
66.132.172.102	6
66.132.172.106	6
66.132.172.109	6
66.132.172.129	6
66.132.172.136	6
66.132.172.137	6
66.132.172.142	6
66.132.172.178	6
66.132.172.179	6
66.132.172.193	6
66.132.172.195	6
66.132.172.198	6
66.132.172.204	6
66.132.172.210	6
66.132.172.222	6
66.132.172.223	6
66.132.186.172	6
66.132.186.173	6
66.132.186.178	6
66.132.186.180	6
66.132.186.189	6
66.132.186.192	6
66.132.186.198	6
66.132.195.31	6
66.132.195.32	6
66.132.195.41	6
66.132.195.48	6
66.132.195.49	6
66.132.195.51	6
66.132.195.55	6
66.132.195.60	6
66.132.195.61	6
66.132.195.66	6
66.132.195.71	6
66.132.195.72	6
66.132.195.78	6
66.132.195.80	6
66.132.195.81	6
66.132.195.97	6
66.132.195.98	6
66.132.195.100	6
66.132.195.103	6
66.132.195.105	6
66.132.195.114	6
66.132.195.118	6
66.132.195.119	6
66.132.195.123	6
66.132.224.87	6
66.132.224.91	6
66.132.224.94	6
66.132.224.223	6
66.132.224.224	6
66.132.224.229	6
66.132.224.235	6
68.183.78.2	6
68.233.116.124	6
71.6.134.236	6
71.6.165.200	6
71.6.167.142	6
76.132.238.43	6
79.72.3.119	6
80.66.83.43	6
80.94.92.179	6
80.94.92.234	6
80.95.38.14	6
81.22.51.64	6
81.226.129.67	6
82.147.85.62	6
82.193.122.91	6
83.97.78.224	6
87.225.108.138	6
89.126.211.166	6
89.248.172.11	6
91.92.40.153	6
91.92.42.61	6
91.92.42.195	6
91.92.47.140	6
92.118.39.50	6
92.118.39.65	6
92.118.39.71	6
92.118.39.77	6
92.118.39.78	6
92.255.196.185	6
94.16.17.141	6
94.154.43.56	6
98.94.81.30	6
101.96.192.88	6
103.55.89.5	6
103.63.101.24	6
103.85.85.175	6
103.93.37.178	6
103.158.138.179	6
103.252.221.157	6
107.150.105.5	6
107.155.48.46	6
109.105.209.10	6
109.238.140.87	6
111.26.62.37	6
111.39.167.59	6
111.70.22.154	6
112.25.140.211	6
112.161.26.125	6
112.167.99.220	6
115.21.125.227	6
116.99.170.82	6
117.69.255.239	6
118.45.101.159	6
118.193.45.220	6
118.194.251.144	6
119.148.49.82	6
120.48.14.39	6
120.48.22.219	6
120.224.242.78	6
121.159.71.249	6
123.58.219.26	6
124.239.169.52	6
125.77.73.145	6
131.186.50.157	6
135.119.96.220	6
135.233.112.94	6
138.68.71.53	6
139.59.135.96	6
142.93.165.255	6
143.198.179.104	6
144.225.6.182	6
147.50.227.79	6
147.185.132.24	6
147.185.132.43	6
147.185.132.55	6
147.185.132.60	6
147.185.132.67	6
147.185.132.93	6
147.185.132.96	6
147.185.132.108	6
147.185.132.171	6
148.72.64.140	6
150.109.254.122	6
152.32.175.45	6
152.52.200.6	6
153.37.177.219	6
156.225.1.112	6
158.51.96.38	6
158.94.211.32	6
159.65.143.47	6
159.89.1.53	6
159.89.207.161	6
159.223.18.188	6
162.216.149.130	6
162.216.150.32	6
162.216.150.50	6
164.90.176.216	6
165.1.78.209	6
165.154.163.10	6
165.232.118.73	6
167.94.146.54	6
167.94.146.57	6
167.94.146.60	6
167.94.146.62	6
167.126.6.183	6
169.58.123.215	6
171.25.193.78	6
171.231.184.215	6
172.94.9.231	6
172.210.81.91	6
175.100.107.238	6
175.198.18.3	6
175.206.113.91	6
176.32.193.16	6
178.16.52.113	6
179.181.133.153	6
179.184.218.49	6
179.185.227.77	6
182.43.235.75	6
182.73.164.228	6
182.76.71.82	6
182.78.112.158	6
185.65.202.199	6
185.93.89.9	6
185.93.89.66	6
185.93.89.150	6
185.103.253.226	6
185.112.148.66	6
185.177.72.12	6
185.177.72.53	6
185.177.72.70	6
185.180.141.45	6
185.180.141.50	6
185.226.197.12	6
185.226.197.27	6
185.226.197.38	6
186.215.107.189	6
186.238.178.6	6
187.8.120.90	6
187.115.144.103	6
187.126.105.42	6
187.218.57.50	6
188.43.204.45	6
189.56.0.19	6
191.33.76.49	6
192.42.116.12	6
192.42.116.13	6
192.42.116.14	6
192.42.116.15	6
192.42.116.17	6
192.42.116.18	6
192.42.116.19	6
192.248.150.180	6
192.253.248.148	6
193.32.162.15	6
193.32.162.27	6
193.32.162.42	6
193.32.162.84	6
193.46.255.86	6
194.164.107.4	6
195.178.110.26	6
195.178.110.217	6
195.178.110.228	6
195.178.110.232	6
195.222.57.190	6
196.203.231.220	6
196.216.81.126	6
198.199.123.141	6
199.45.154.50	6
199.45.154.112	6
199.45.154.116	6
199.45.155.66	6
199.45.155.68	6
199.45.155.69	6
199.45.155.70	6
199.45.155.80	6
199.45.155.82	6
199.45.155.84	6
199.45.155.85	6
199.45.155.87	6
199.45.155.91	6
199.45.155.94	6
199.45.155.97	6
199.45.155.98	6
199.45.155.110	6
200.89.159.59	6
200.149.51.6	6
203.193.137.250	6
205.210.31.60	6
206.189.5.249	6
210.211.122.97	6
210.212.136.3	6
211.223.41.90	6
211.247.127.250	6
216.226.76.20	6
217.60.255.130	6
218.13.26.42	6
218.15.224.102	6
218.65.4.88	6
220.80.223.144	6
220.93.167.144	6
220.180.107.193	6
220.180.249.165	6
220.247.224.226	6
221.181.210.98	6
222.120.176.6	6
223.85.251.55	6
1.222.42.237	5
1.247.245.61	5
1.250.67.190	5
2.57.121.25	5
2.57.122.168	5
3.86.114.186	5
3.91.61.197	5
3.91.151.163	5
3.91.175.250	5
3.93.76.26	5
4.223.73.90	5
5.11.162.163	5
5.99.196.202	5
5.101.64.6	5
8.134.157.132	5
8.138.155.88	5
8.209.90.19	5
8.216.9.48	5
8.216.9.195	5
8.216.16.145	5
8.219.150.15	5
8.219.222.66	5
8.221.139.48	5
12.156.67.18	5
13.86.106.3	5
13.89.121.32	5
13.89.124.208	5
13.89.124.222	5
13.89.125.27	5
13.89.125.31	5
13.89.125.225	5
13.89.125.231	5
13.140.143.194	5
13.218.90.220	5
13.219.1.233	5
14.33.96.3	5
14.225.5.67	5
15.204.118.38	5
18.212.208.154	5
20.12.240.9	5
20.14.89.71	5
20.14.90.84	5
20.15.162.238	5
20.15.225.63	5
20.15.225.72	5
20.29.19.156	5
20.29.23.130	5
20.29.56.247	5
