2023-02-03 12:40:18,siri_urz,md5,80CC1B6E8DAB57E15ACCC0A02D9DD513,#ransomware,https://twitter.com/siri_urz/status/1621488748566384640
2023-02-03 12:49:18,ScumBots,url,http://nuevosecua.duckdns.org:2054,,https://twitter.com/ScumBots/status/1621491013612101633
2023-02-03 12:49:18,ScumBots,sha256,15d5605f08420bd6b2ed02d9e08885e442c3f3e0bd4423b2ca7450f593799963,,https://twitter.com/ScumBots/status/1621491013612101633
2023-02-03 14:47:05,pr0xylife,url,http://135.148.144.191/44607.dat,#Qakbot,https://twitter.com/pr0xylife/status/1621520658005118980
2023-02-03 14:47:05,pr0xylife,ip,135.148.144.191,#Qakbot,https://twitter.com/pr0xylife/status/1621520658005118980
2023-02-03 15:06:05,sugimu_sec,url,http://https://cpuz.beerworldstore.com/,,https://twitter.com/sugimu_sec/status/1621525439658487813
2023-02-03 15:06:05,sugimu_sec,url,http://https://firetech.co.id/yourls/ewhserhawerfsegs,,https://twitter.com/sugimu_sec/status/1621525439658487813
2023-02-03 15:51:42,James_inthe_box,url,http://216.238.76.210/49911.dat,,https://twitter.com/James_inthe_box/status/1621536918529007616
2023-02-03 15:51:42,James_inthe_box,ip,216.238.76.210,,https://twitter.com/James_inthe_box/status/1621536918529007616
2023-02-03 15:51:42,James_inthe_box,sha256,5f919b98fe0692407761b9fbc869cfd47cecf3d7386ae340a16f04af4673c2ba,,https://twitter.com/James_inthe_box/status/1621536918529007616
2023-02-03 16:07:23,ScumBots,url,http://20.197.196.201:7749,,https://twitter.com/ScumBots/status/1621540866463522816
2023-02-03 16:07:23,ScumBots,ip,20.197.196.201,,https://twitter.com/ScumBots/status/1621540866463522816
2023-02-03 16:07:23,ScumBots,sha256,c40f3216652866e041fd154c38dab5f443f65da7e995e45ce473bf2662e2f7e4,,https://twitter.com/ScumBots/status/1621540866463522816
2023-02-03 17:07:19,ScumBots,url,http://mayo21.duckdns.org:2815,,https://twitter.com/ScumBots/status/1621555947243028483
2023-02-03 17:07:19,ScumBots,sha256,6bd33a93372e7cc45c5cf3c040991830bee9f2be6959f4b764feb7f3873fc458,,https://twitter.com/ScumBots/status/1621555947243028483
2023-02-03 17:40:02,dnstwist,url,http://primevideo7.com,#phishing,https://twitter.com/dnstwist/status/1621564178476503041
2023-02-03 17:50:01,dnstwist,url,http://steakcommunity.com,#phishing,https://twitter.com/dnstwist/status/1621566692944928769
2023-02-03 18:07:24,ScumBots,url,"https://pastebin.com/raw/FcHGaN0M,intrudernomercy.duckdns.org:7749",,https://twitter.com/ScumBots/status/1621571066882654213
2023-02-03 18:07:24,ScumBots,sha256,e8967e7e29637e86409f73b31e2e775bde676b25ae6b121380a1b95a48fd3195,,https://twitter.com/ScumBots/status/1621571066882654213
2023-02-03 18:39:08,c_APT_ure,url,http://transfer.sh/get/44Y2u7/gh.ps1,#malware,https://twitter.com/c_APT_ure/status/1621579054888501249
2023-02-03 18:39:08,c_APT_ure,url,http://147.185.221.223:30420,#malware,https://twitter.com/c_APT_ure/status/1621579054888501249
2023-02-03 18:39:08,c_APT_ure,ip,147.185.221.223,#malware,https://twitter.com/c_APT_ure/status/1621579054888501249
2023-02-03 19:32:24,ScumBots,url,http://5.78.65.18:8848,,https://twitter.com/ScumBots/status/1621592459246505984
2023-02-03 19:32:24,ScumBots,ip,5.78.65.18,,https://twitter.com/ScumBots/status/1621592459246505984
2023-02-03 19:32:24,ScumBots,sha256,797934da336f36e3e80b71e2d48a5ed7453d27394868cac609989ba11f00c734,,https://twitter.com/ScumBots/status/1621592459246505984
2023-02-03 20:28:38,James_inthe_box,url,https://renomesolar.com/users/3954321778/4200660454,#IcedID,https://twitter.com/James_inthe_box/status/1621606611684065280
2023-02-03 20:28:38,James_inthe_box,sha256,fbad60002286599ca06d0ecb3624740efbf13ee5fda545341b3e0bf4d5348cfe,#IcedID,https://twitter.com/James_inthe_box/status/1621606611684065280
2023-02-03 20:07:48,CarlyGriggs13,url,https://wwh-club.pro/,#phishing #scam #malware,https://twitter.com/CarlyGriggs13/status/1621601366937403393
2023-02-03 20:09:09,AtomSpam,url,http://finalascenia.com/?dsve,#phishing,https://twitter.com/AtomSpam/status/1621601705820315648
2023-02-03 20:20:26,CarlyGriggs13,url,https://mint-echoforest.vercel.app/,#phishing #scam #malware,https://twitter.com/CarlyGriggs13/status/1621604548375609344
2023-02-03 20:29:38,AtomSpam,url,http://82.7421111.repl.co/,#phishing,https://twitter.com/AtomSpam/status/1621606861630803969
2023-02-03 20:39:20,urldna,url,http://hxxps://okexn.lol/index/passport/login/token/bed006198d0740ec1b4006efd75fc1b1.html,#phishing,https://twitter.com/urldna/status/1621609304624087040
2023-02-03 20:39:20,urldna,md5,bed006198d0740ec1b4006efd75fc1b1,#phishing,https://twitter.com/urldna/status/1621609304624087040
