2023-02-07 09:06:33,siri_urz,md5,32B44ACF9A21B3B5285203B2E3192C3C,#ransomware,https://twitter.com/siri_urz/status/1622884511708053504
2023-02-07 10:40:16,RedDrip7,url,http://151.106.19.20:{12197.16867.24784.8248.23123,,https://twitter.com/RedDrip7/status/1622908094606094338
2023-02-07 10:40:16,RedDrip7,ip,151.106.19.20,,https://twitter.com/RedDrip7/status/1622908094606094338
2023-02-07 10:40:16,RedDrip7,md5,8d8311afbc81c2bb319cd692460b1632,,https://twitter.com/RedDrip7/status/1622908094606094338
2023-02-07 10:40:16,RedDrip7,md5,e55e497ceadd037254e847187b6996da,,https://twitter.com/RedDrip7/status/1622908094606094338
2023-02-07 06:37:29,kienbigmummy,url,http://192.3.223.114/77.doc,#Lokibot,https://twitter.com/kienbigmummy/status/1622846995567382528
2023-02-07 06:37:29,kienbigmummy,url,http://192.3.223.114/477/vbc.exe,#Lokibot,https://twitter.com/kienbigmummy/status/1622846995567382528
2023-02-07 06:37:29,kienbigmummy,url,http://sempersim.su/ha1/fre.php,#Lokibot,https://twitter.com/kienbigmummy/status/1622846995567382528
2023-02-07 06:37:29,kienbigmummy,ip,192.3.223.114,#Lokibot,https://twitter.com/kienbigmummy/status/1622846995567382528
2023-02-07 06:37:29,kienbigmummy,sha256,55f21edd4d3d287b961b57d6215a809cc06fe00c8f649ed812522b8061276409,#Lokibot,https://twitter.com/kienbigmummy/status/1622846995567382528
2023-02-07 07:36:39,JAMESWT_MHT,ip,46.8.19.182,#Ursnif,https://twitter.com/JAMESWT_MHT/status/1622861886952808450
2023-02-07 07:38:50,faisalusuf,sha256,e803cebb4b2ccd0cc13a199db59f41b61f0412de630324930a04d00fc6e991a0,,https://twitter.com/faisalusuf/status/1622862434817159168
2023-02-07 11:40:12,JAMESWT_MHT,url,https://segzrecords.com,#malware #Ursnif,https://twitter.com/JAMESWT_MHT/status/1622923175599251457
2023-02-07 11:40:12,JAMESWT_MHT,url,https://segzrecords.com/wp-content/plugins/press/azienda/,#malware #Ursnif,https://twitter.com/JAMESWT_MHT/status/1622923175599251457
2023-02-07 04:50:37,StopMalvertisin,url,http://www.hydrotec.co.kr/bbs/img/cmg/upload3/init.dotm,,https://twitter.com/StopMalvertisin/status/1622820101362954240
2023-02-07 04:50:37,StopMalvertisin,url,http://www.hydrotec.co.kr/bbs/img/cmg/upload3/state.docx,,https://twitter.com/StopMalvertisin/status/1622820101362954240
2023-02-07 04:50:37,StopMalvertisin,url,http://www.hydrotec.co.kr/bbs/img/cmg/upload3/list.php?query=60,,https://twitter.com/StopMalvertisin/status/1622820101362954240
2023-02-07 04:50:37,StopMalvertisin,md5,705ef00224f3f7b02e29f21eb6e10d02,,https://twitter.com/StopMalvertisin/status/1622820101362954240
2023-02-07 12:59:38,malwrhunterteam,url,https://transfer.sh/get/l9EbGJ/renamethis.txt,,https://twitter.com/malwrhunterteam/status/1622943168084774914
2023-02-07 12:59:38,malwrhunterteam,sha256,fe28d052fa46e6a82a2b92c0f704bc39b5fca392e88af140e7401a9e7f67069e,,https://twitter.com/malwrhunterteam/status/1622943168084774914
2023-02-07 13:02:49,malwrhunterteam,url,http://45.8.98.144/07.02/ss/sensation.DjVu,,https://twitter.com/malwrhunterteam/status/1622943966038564864
2023-02-07 13:02:49,malwrhunterteam,ip,45.8.98.144,,https://twitter.com/malwrhunterteam/status/1622943966038564864
2023-02-07 13:02:49,malwrhunterteam,sha256,7550e86864ff9ef2faec56ac483a951eee5eb2cc036816093251c59615914480,,https://twitter.com/malwrhunterteam/status/1622943966038564864
2023-02-07 13:02:49,malwrhunterteam,sha256,602a970c272a4d6710a86792906ccad8e608115fcd46ed4740df7ec2c1b0cbe9,,https://twitter.com/malwrhunterteam/status/1622943966038564864
2023-02-07 13:39:58,malwrhunterteam,url,http://104.168.46.125/file/svc.exe,,https://twitter.com/malwrhunterteam/status/1622953319172919298
2023-02-07 13:39:58,malwrhunterteam,url,http://QT21.zip,,https://twitter.com/malwrhunterteam/status/1622953319172919298
2023-02-07 13:39:58,malwrhunterteam,ip,104.168.46.125,,https://twitter.com/malwrhunterteam/status/1622953319172919298
2023-02-07 13:39:58,malwrhunterteam,sha256,3f308ab76f5626f9c6a56b414ead390ddae6472904b8655732af01e534ba2273,,https://twitter.com/malwrhunterteam/status/1622953319172919298
2023-02-07 13:39:58,malwrhunterteam,sha256,890ecebc5af05ee670b164616c531fc710affebffbf4c7f6643c8aa12f8cae87,,https://twitter.com/malwrhunterteam/status/1622953319172919298
2023-02-07 13:45:51,PhishStats,url,http://freigegebenedatendateigmx.yolasite.com/,#phishing,https://twitter.com/PhishStats/status/1622954799561056257
