2023-03-01 09:46:16,phishunt_io,ip,194.56.189.91,#phishing #scam,https://twitter.com/phishunt_io/status/1630867037328162817
2023-03-01 10:15:31,500mk500,url,http://amild.urlfbvf.online,,https://twitter.com/500mk500/status/1630874397069246464
2023-03-01 10:15:31,500mk500,url,http://43.155.93.147,,https://twitter.com/500mk500/status/1630874397069246464
2023-03-01 10:15:31,500mk500,ip,43.155.93.147,,https://twitter.com/500mk500/status/1630874397069246464
2023-03-01 10:43:05,malwrhunterteam,url,https://www.karena.info/oferta.txt,,https://twitter.com/malwrhunterteam/status/1630881334582210560
2023-03-01 10:43:05,malwrhunterteam,sha256,d3bea31897d661a7f0d134e82292de2082e660f34d22f9247480738dce70976c,,https://twitter.com/malwrhunterteam/status/1630881334582210560
2023-03-01 10:48:34,JAMESWT_MHT,url,https://skinydress.com/,#Ursnif,https://twitter.com/JAMESWT_MHT/status/1630882714281730049
2023-03-01 10:50:31,500mk500,url,http://185.246.220.143,,https://twitter.com/500mk500/status/1630883208584634369
2023-03-01 10:50:31,500mk500,url,http://chinesetable.us,,https://twitter.com/500mk500/status/1630883208584634369
2023-03-01 10:50:31,500mk500,url,http://cnc.chinesetable.us,,https://twitter.com/500mk500/status/1630883208584634369
2023-03-01 10:50:31,500mk500,ip,185.246.220.143,,https://twitter.com/500mk500/status/1630883208584634369
2023-03-01 11:32:14,malwrhunterteam,url,https://enterpasswordnowfghgfdsdf.us-east-1.linodeobjects.com/login100pump.html,,https://twitter.com/malwrhunterteam/status/1630893703060496385
2023-03-01 11:49:16,reecdeep,url,"http://94.140.115.195/c32.jpg,c64.jpg",#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,157.254.195.117,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,91.215.85.151,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,159.100.30.187,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,135.148.67.88,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,46.30.45.60,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,157.254.194.151,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,23.106.124.232,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:49:16,reecdeep,ip,94.140.115.195,#malware #Ursnif,https://twitter.com/reecdeep/status/1630897990507397131
2023-03-01 11:55:37,reecdeep,url,http://cdn.discordapp.com/1078994957249040426/1080101930178719814/s41.iso,,https://twitter.com/reecdeep/status/1630899588277084161
